市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","8050","セイコーＧ","10,980.0","+840.0","+8.28%","7.10%"
"東証プライム","2","NEW","","6330","洋エンジ","2,657.0","+181.0","+7.31%","6.81%"
"東証プライム","3","NEW","","7456","松田産","7,370.0","+470.0","+6.81%","6.51%"
"東証プライム","4","NEW","","7715","長野計器","4,180.0","+315.0","+8.15%","6.22%"
"東証プライム","5","↓3","2","9984","ソフトバンクグループ","6,217.0","+627.0","+11.22%","6.03%"
"東証プライム","6","NEW","","6387","サムコ","9,140.0","+820.0","+9.86%","5.69%"
"東証プライム","7","↑62","69","7717","Ｖテク","6,010.0","+380.0","+6.75%","4.66%"
"東証プライム","8","↑49","57","6963","ローム","5,243.0","+378.0","+7.77%","4.63%"
"東証プライム","9","NEW","","6298","ワイエイシイＨＤ","1,360.0","+87.0","+6.83%","4.49%"
"東証プライム","10","NEW","","5074","テスホールディングス","618.0","+30.0","+5.10%","4.37%"
"東証プライム","11","NEW","","6752","パナソニックＨＤ","4,421.0","+258.0","+6.20%","4.25%"
"東証プライム","12","↑10","22","5344","ＭＡＲＵＷＡ","58,470.0","+4,960.0","+9.27%","4.22%"
"東証プライム","13","NEW","","3153","八洲電機","3,145.0","+135.0","+4.49%","4.13%"
"東証プライム","14","↑4","18","6961","エンプラス","10,420.0","+640.0","+6.54%","4.03%"
"東証プライム","15","NEW","","6258","平田機工","3,645.0","+190.0","+5.50%","3.98%"
"東証プライム","16","NEW","","6407","ＣＫＤ","5,520.0","+310.0","+5.95%","3.80%"
"東証プライム","17","↓5","12","6976","太陽誘電","9,824.0","+398.0","+4.22%","3.76%"
"東証プライム","18","↓13","5","6787","メイコー","19,930.0","+1,260.0","+6.75%","3.66%"
"東証プライム","19","↑59","78","7600","ＭＤＭ","683.0","+15.0","+2.25%","3.66%"
"東証プライム","20","NEW","","6622","ダイヘン","12,990.0","+730.0","+5.95%","3.62%"
"東証プライム","21","NEW","","7384","プロクレアＨＤ","5,000.0","+180.0","+3.73%","3.60%"
"東証プライム","22","↓8","14","6594","ニデック","2,812.0","+201.0","+7.70%","3.59%"
"東証プライム","23","NEW","","6331","菱化工機","3,365.0","+160.0","+4.99%","3.57%"
"東証プライム","24","NEW","","4004","レゾナックＨＤ","16,580.0","+1,050.0","+6.76%","3.50%"
"東証プライム","25","NEW","","1982","日比谷設","3,160.0","+168.0","+5.61%","3.48%"
"東証プライム","26","NEW","","8362","福井銀","7,350.0","+300.0","+4.26%","3.40%"
"東証プライム","27","NEW","","429A","テクセンド","3,975.0","+265.0","+7.14%","3.40%"
"東証プライム","28","↑28","56","4062","イビデン","22,200.0","+1,725.0","+8.42%","3.38%"
"東証プライム","29","↓5","24","6266","タツモ","3,675.0","+190.0","+5.45%","3.27%"
"東証プライム","30","↑18","48","6814","古野電気","8,010.0","+280.0","+3.62%","3.25%"
"東証プライム","31","NEW","","7003","三井Ｅ＆Ｓ","4,500.0","+213.0","+4.97%","3.18%"
"東証プライム","32","↑66","98","5821","平河ヒューテ","3,165.0","+110.0","+3.60%","3.16%"
"東証プライム","33","NEW","","277A","グロービング","1,901.0","+50.0","+2.70%","3.05%"
"東証プライム","34","NEW","","6871","日マイクロニクス","12,920.0","+980.0","+8.21%","2.94%"
"東証プライム","35","NEW","","6363","酉島製","3,045.0","+55.0","+1.84%","2.92%"
"東証プライム","36","NEW","","6653","正興電機製作所","2,185.0","+75.0","+3.55%","2.88%"
"東証プライム","37","NEW","","6498","キッツ","1,944.0","+60.0","+3.18%","2.88%"
"東証プライム","38","NEW","","1975","朝日工","4,005.0","+140.0","+3.62%","2.87%"
"東証プライム","39","NEW","","9880","イノテック","3,500.0","+145.0","+4.32%","2.86%"
"東証プライム","40","NEW","","6638","Ｍｉｍａｋｉ","1,966.0","+66.0","+3.47%","2.85%"
"東証プライム","41","NEW","","6269","三井海洋","9,720.0","+335.0","+3.57%","2.77%"
"東証プライム","42","NEW","","4813","ＡＣＣＥＳＳ","434.0","+13.0","+3.09%","2.76%"
"東証プライム","43","NEW","","6920","レーザーテック","35,590.0","+2,410.0","+7.26%","2.75%"
"東証プライム","44","NEW","","8541","愛媛銀","3,280.0","+70.0","+2.18%","2.74%"
"東証プライム","45","NEW","","7012","川崎重","2,488.0","+54.5","+2.24%","2.73%"
"東証プライム","46","NEW","","1515","日鉄鉱","3,490.0","+130.0","+3.87%","2.72%"
"東証プライム","47","NEW","","9107","川崎船","3,425.0","+97.0","+2.91%","2.72%"
"東証プライム","48","NEW","","2678","アスクル","1,296.0","+26.0","+2.05%","2.70%"
"東証プライム","49","NEW","","7826","フルヤ金属","10,840.0","+410.0","+3.93%","2.68%"
"東証プライム","50","NEW","","9229","サンウェルズ","114.0","+3.0","+2.70%","2.63%"
"東証プライム","51","↓42","9","285A","キオクシアＨＤ","59,530.0","+5,070.0","+9.31%","2.57%"
"東証プライム","52","NEW","","6617","東光高岳","7,030.0","+300.0","+4.46%","2.56%"
"東証プライム","53","NEW","","6703","ＯＫＩ","2,798.0","+98.0","+3.63%","2.54%"
"東証プライム","54","↑26","80","6981","村田製","7,620.0","+429.0","+5.97%","2.48%"
