市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","6330","洋エンジ","2,496.0","+168.0","+7.22%","6.85%"
"東証プライム","2","NEW","","8237","松屋","2,702.0","+252.0","+10.29%","5.63%"
"東証プライム","3","↑49","52","6027","弁護士ドットコム","4,735.0","+260.0","+5.81%","5.07%"
"東証プライム","4","NEW","","9229","サンウェルズ","119.0","+5.0","+4.39%","5.04%"
"東証プライム","5","NEW","","6305","日立建機","6,005.0","+361.0","+6.40%","4.83%"
"東証プライム","6","NEW","","6005","三浦工","3,192.0","+148.0","+4.86%","4.61%"
"東証プライム","7","NEW","","3994","マネーフォワード","6,450.0","+350.0","+5.74%","4.47%"
"東証プライム","8","NEW","","2737","トーメンデバ","30,150.0","+1,800.0","+6.35%","4.31%"
"東証プライム","9","NEW","","6532","ベイカレント","7,795.0","+310.0","+4.14%","4.04%"
"東証プライム","10","NEW","","166A","タスキＨＤ","1,205.0","+56.0","+4.87%","3.98%"
"東証プライム","11","NEW","","1968","太平電","2,449.0","+92.0","+3.90%","3.88%"
"東証プライム","12","NEW","","4082","稀元素","2,025.0","+78.0","+4.01%","3.85%"
"東証プライム","13","↑40","53","5715","古河機金","4,370.0","+210.0","+5.05%","3.78%"
"東証プライム","14","NEW","","6301","コマツ","7,414.0","+349.0","+4.94%","3.76%"
"東証プライム","15","NEW","","3968","セグエ","653.0","+27.0","+4.31%","3.68%"
"東証プライム","16","NEW","","5707","東邦鉛","1,192.0","+47.0","+4.10%","3.52%"
"東証プライム","17","NEW","","1801","大成建","12,720.0","+365.0","+2.95%","3.50%"
"東証プライム","18","NEW","","8273","イズミ","1,065.0","+28.0","+2.70%","3.47%"
"東証プライム","19","NEW","","6135","牧野フライス","15,630.0","+600.0","+3.99%","3.45%"
"東証プライム","20","NEW","","7456","松田産","7,040.0","+240.0","+3.53%","3.41%"
"東証プライム","21","NEW","","1944","きんでん","6,820.0","+134.0","+2.00%","3.37%"
"東証プライム","22","NEW","","7826","フルヤ金属","8,350.0","+210.0","+2.58%","3.35%"
"東証プライム","23","NEW","","6459","だいわ","1,735.0","+47.0","+2.78%","3.29%"
"東証プライム","24","NEW","","6058","ベクトル","1,953.0","+53.0","+2.79%","3.23%"
"東証プライム","25","NEW","","6098","リクルートＨＤ","16,515.0","+615.0","+3.87%","3.12%"
"東証プライム","26","↑13","39","5757","ＣＫサンエツ","5,520.0","+170.0","+3.18%","3.08%"
"東証プライム","27","NEW","","6588","東芝テック","3,110.0","+100.0","+3.32%","3.05%"
"東証プライム","28","NEW","","4849","エン","1,685.0","+91.0","+5.71%","3.03%"
"東証プライム","29","NEW","","1982","日比谷設","3,015.0","+82.0","+2.80%","3.02%"
"東証プライム","30","NEW","","1969","高砂熱","4,303.0","+83.0","+1.97%","2.97%"
"東証プライム","31","NEW","","8061","西華産","3,060.0","+100.0","+3.38%","2.94%"
"東証プライム","32","NEW","","6302","住友重","5,888.0","+273.0","+4.86%","2.94%"
