市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑4","5","9984","ソフトバンクグループ","6,556.0","+339.0","+5.45%","6.57%"
"東証プライム","2","NEW","","2791","大黒天","4,820.0","+180.0","+3.88%","3.63%"
"東証プライム","3","NEW","","4967","小林製薬","5,913.0","+259.0","+4.58%","3.62%"
"東証プライム","4","NEW","","3197","すかいらーくＨＤ","3,420.0","+103.0","+3.11%","3.39%"
"東証プライム","5","NEW","","7552","ハピネット","3,750.0","+95.0","+2.60%","3.20%"
"東証プライム","6","NEW","","3064","ＭＲＯ","1,963.0","+62.0","+3.26%","3.13%"
"東証プライム","7","NEW","","3038","神戸物産","3,108.0","+123.0","+4.12%","2.96%"
"東証プライム","8","NEW","","4565","ネクセラファーマ","1,234.0","+66.0","+5.65%","2.92%"
"東証プライム","9","NEW","","3659","ネクソン","3,132.0","+81.0","+2.65%","2.87%"
"東証プライム","10","NEW","","2212","山崎パン","3,889.0","+140.0","+3.73%","2.85%"
"東証プライム","11","NEW","","2695","くら寿司","1,739.0","+43.0","+2.54%","2.82%"
"東証プライム","12","NEW","","2432","ディーエヌエー","2,610.5","+47.5","+1.85%","2.82%"
"東証プライム","13","↑67","80","7581","サイゼリヤ","7,480.0","+210.0","+2.89%","2.81%"
"東証プライム","14","NEW","","8179","ロイヤルＨＤ","1,361.0","+36.0","+2.72%","2.79%"
"東証プライム","15","NEW","","9023","東京メトロ","1,529.0","+45.0","+3.03%","2.68%"
"東証プライム","16","NEW","","9603","Ｈ．Ｉ．Ｓ．","1,210.0","+39.0","+3.33%","2.64%"
"東証プライム","17","NEW","","9602","東宝","1,602.0","+31.0","+1.97%","2.59%"
"東証プライム","18","NEW","","3397","トリドールＨＤ","4,322.0","+85.0","+2.01%","2.57%"
"東証プライム","19","NEW","","3778","さくらインターネット","3,700.0","+70.0","+1.93%","2.57%"
"東証プライム","20","NEW","","2593","伊藤園","3,200.0","+71.0","+2.27%","2.56%"
"東証プライム","21","NEW","","5019","出光興産","1,543.0","+44.0","+2.94%","2.50%"
"東証プライム","22","NEW","","9843","ニトリＨＤ","3,392.0","+176.0","+5.47%","2.45%"
"東証プライム","23","NEW","","2871","ニチレイ","2,150.0","+48.0","+2.28%","2.42%"
"東証プライム","24","NEW","","9532","大瓦斯","5,856.0","+90.0","+1.56%","2.39%"
"東証プライム","25","NEW","","2533","オエノンＨＤ","461.0","+8.0","+1.77%","2.39%"
"東証プライム","26","NEW","","9432","ＮＴＴ","172.0","+3.2","+1.90%","2.33%"
"東証プライム","27","NEW","","5020","ＥＮＥＯＳ","1,393.5","+24.5","+1.79%","2.30%"
"東証プライム","28","NEW","","7550","ゼンショーＨＤ","11,825.0","+130.0","+1.11%","2.28%"
"東証プライム","29","NEW","","1803","清水建","2,456.0","+39.0","+1.61%","2.28%"
"東証プライム","30","NEW","","368A","北里","1,448.0","+30.0","+2.12%","2.28%"
"東証プライム","31","NEW","","4686","ジャストシステム","4,220.0","+65.0","+1.56%","2.25%"
"東証プライム","32","NEW","","9534","北海瓦斯","941.0","+13.0","+1.40%","2.23%"
"東証プライム","33","NEW","","4661","ＯＬＣ","3,188.0","+96.0","+3.10%","2.23%"
"東証プライム","34","NEW","","3993","ＰＫＳＨＡ","3,160.0","+30.0","+0.96%","2.22%"
"東証プライム","35","NEW","","3387","クリレスＨＤ","775.0","+14.0","+1.84%","2.19%"
"東証プライム","36","↓34","2","6330","洋エンジ","2,714.0","+57.0","+2.15%","2.17%"
"東証プライム","37","NEW","","8830","住友不","3,244.0","+33.0","+1.03%","2.16%"
"東証プライム","38","NEW","","417A","ブルーゾーンＨＤ","1,924.0","+29.0","+1.53%","2.16%"
"東証プライム","39","NEW","","3391","ツルハＨＤ","2,341.0","+36.0","+1.56%","2.14%"
"東証プライム","40","NEW","","6630","ヤーマン","801.0","+16.0","+2.04%","2.12%"
"東証プライム","41","NEW","","9869","加藤産業","6,730.0","+100.0","+1.51%","2.08%"
"東証プライム","42","NEW","","2282","日ハム","6,209.0","+133.0","+2.19%","2.08%"
