市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑4","5","2737","トーメンデバ","43,700.0","+3,750.0","+9.39%","8.47%"
"東証プライム","2","NEW","","8551","北日本銀","9,060.0","+680.0","+8.11%","7.40%"
"東証プライム","3","↑70","73","6277","ホソカワミクロン","6,680.0","+550.0","+8.97%","7.19%"
"東証プライム","4","NEW","","7322","３３ＦＧ","2,238.0","+181.0","+8.80%","7.10%"
"東証プライム","5","NEW","","8346","東邦銀","1,097.0","+86.0","+8.51%","6.93%"
"東証プライム","6","NEW","","8338","筑波銀行","788.0","+62.0","+8.54%","6.85%"
"東証プライム","7","NEW","","7826","フルヤ金属","11,700.0","+1,000.0","+9.35%","6.75%"
"東証プライム","8","NEW","","8388","阿波銀","11,040.0","+810.0","+7.92%","6.70%"
"東証プライム","9","NEW","","8393","宮崎銀","2,955.0","+201.0","+7.30%","6.60%"
"東証プライム","10","NEW","","7389","あいちＦＧ","2,066.0","+161.0","+8.45%","6.58%"
"東証プライム","11","NEW","","8343","秋田銀","10,250.0","+760.0","+8.01%","6.34%"
"東証プライム","12","NEW","","8550","栃木銀","1,208.0","+89.0","+7.95%","6.21%"
"東証プライム","13","NEW","","8344","山形銀","5,680.0","+440.0","+8.40%","5.99%"
"東証プライム","14","NEW","","6740","ＪＤＩ","51.0","+2.0","+4.08%","5.88%"
"東証プライム","15","NEW","","8345","岩手銀","2,907.0","+168.0","+6.13%","5.57%"
"東証プライム","16","↑46","62","8541","愛媛銀","3,700.0","+230.0","+6.63%","5.41%"
"東証プライム","17","NEW","","8395","佐賀銀","7,080.0","+360.0","+5.36%","5.37%"
"東証プライム","18","↑70","88","9304","渋沢倉","2,259.0","+115.0","+5.36%","4.91%"
"東証プライム","19","NEW","","8392","大分銀","3,280.0","+170.0","+5.47%","4.88%"
"東証プライム","20","NEW","","8154","加賀電子","5,420.0","+300.0","+5.86%","4.80%"
"東証プライム","21","NEW","","8558","東和銀","1,585.0","+88.0","+5.88%","4.73%"
"東証プライム","22","NEW","","7327","第四北越ＦＧ","2,855.0","+163.0","+6.05%","4.66%"
"東証プライム","23","NEW","","8334","群馬銀","3,208.0","+207.0","+6.90%","4.64%"
"東証プライム","24","NEW","","8364","清水銀","3,280.0","+180.0","+5.81%","4.57%"
"東証プライム","25","NEW","","8366","滋賀銀","3,020.0","+157.0","+5.48%","4.54%"
"東証プライム","26","NEW","","5838","楽天銀行","6,394.0","+296.0","+4.85%","4.39%"
"東証プライム","27","NEW","","4373","シンプレクスＨＤ","1,150.0","-4.0","-0.35%","4.35%"
"東証プライム","28","NEW","","7180","九州ＦＧ","1,745.0","+100.0","+6.08%","4.27%"
"東証プライム","29","↑45","74","6301","コマツ","7,640.0","+431.0","+5.98%","4.24%"
"東証プライム","30","NEW","","8387","四国銀","4,635.0","+265.0","+6.06%","4.21%"
"東証プライム","31","NEW","","3769","ＧＭＯＰＧ","9,087.0","+359.0","+4.11%","4.18%"
"東証プライム","32","NEW","","8361","大垣銀","8,850.0","+400.0","+4.73%","4.18%"
"東証プライム","33","NEW","","8362","福井銀","8,180.0","+410.0","+5.28%","4.16%"
"東証プライム","34","NEW","","7189","西日本ＦＨ","5,146.0","+233.0","+4.74%","4.08%"
"東証プライム","35","NEW","","8360","山梨中銀","7,620.0","+320.0","+4.38%","4.07%"
"東証プライム","36","NEW","","8368","百五銀","2,606.0","+147.0","+5.98%","4.07%"
"東証プライム","37","↑7","44","6490","ＰＩＬＬＡＲ","10,350.0","+340.0","+3.40%","4.06%"
"東証プライム","38","NEW","","8544","京葉銀","3,010.0","+172.0","+6.06%","4.05%"
"東証プライム","39","↓23","16","546A","ＭＩＲＡＩＮＩ","2,642.0","+57.0","+2.21%","4.05%"
"東証プライム","40","NEW","","7173","東京きらぼしＦＧ","1,787.0","+85.0","+4.99%","3.97%"
"東証プライム","41","NEW","","8524","北洋銀行","1,375.0","+57.0","+4.32%","3.93%"
"東証プライム","42","NEW","","8035","東エレク","56,520.0","+2,600.0","+4.82%","3.87%"
"東証プライム","43","NEW","","6376","日機装","3,650.0","+165.0","+4.73%","3.84%"
"東証プライム","44","NEW","","5830","いよぎんＨＤ","3,917.0","+176.0","+4.70%","3.80%"
"東証プライム","45","↓35","10","4062","イビデン","23,345.0","+940.0","+4.20%","3.71%"
"東証プライム","46","↑45","91","6638","Ｍｉｍａｋｉ","2,242.0","+90.0","+4.18%","3.66%"
"東証プライム","47","NEW","","8713","フィデアＨＤ","2,871.0","+120.0","+4.36%","3.66%"
"東証プライム","48","NEW","","8377","ほくほく","8,815.0","+457.0","+5.47%","3.57%"
"東証プライム","49","NEW","","3034","クオールＨＤ","2,448.0","+103.0","+4.39%","3.55%"
"東証プライム","50","NEW","","7184","富山第一銀行","3,665.0","+180.0","+5.16%","3.55%"
"東証プライム","51","NEW","","8308","りそなＨＤ","2,540.0","+121.0","+5.00%","3.54%"
"東証プライム","52","NEW","","8359","八十二長野銀行","2,840.0","+117.0","+4.30%","3.45%"
"東証プライム","53","NEW","","8714","池田泉州","1,139.0","+49.0","+4.50%","3.42%"
"東証プライム","54","NEW","","5831","しずおかＦＧ","3,624.0","+164.0","+4.74%","3.42%"
"東証プライム","55","NEW","","9310","トランスシティ","1,462.0","+54.0","+3.84%","3.42%"
"東証プライム","56","NEW","","4674","クレスコ","1,904.0","+63.0","+3.42%","3.36%"
"東証プライム","57","NEW","","8522","名古屋銀","7,470.0","+330.0","+4.62%","3.35%"
"東証プライム","58","NEW","","3156","レスター","6,280.0","+140.0","+2.28%","3.34%"
"東証プライム","59","↓48","11","9962","ミスミＧ","3,919.0","+88.0","+2.30%","3.34%"
"東証プライム","60","NEW","","5121","藤コンポ","3,000.0","+105.0","+3.63%","3.33%"
"東証プライム","61","↓31","30","4902","コニカミノルタ","670.8","+9.7","+1.47%","3.25%"
"東証プライム","62","NEW","","8386","百十四銀","3,245.0","+140.0","+4.51%","3.24%"
"東証プライム","63","NEW","","8354","ふくおか","8,008.0","+349.0","+4.56%","3.22%"
"東証プライム","64","NEW","","8399","琉球銀","3,430.0","+145.0","+4.41%","3.21%"
"東証プライム","65","NEW","","7735","スクリン","13,740.0","+440.0","+3.31%","3.20%"
"東証プライム","66","NEW","","7182","ゆうちょ銀行","3,349.0","+149.0","+4.66%","3.19%"
"東証プライム","67","NEW","","268A","リガク","1,668.0","+37.0","+2.27%","3.18%"
"東証プライム","68","NEW","","7380","十六ＦＧ","2,849.0","+140.0","+5.17%","3.16%"
"東証プライム","69","NEW","","7350","おきなわＦＧ","8,280.0","+350.0","+4.41%","3.14%"
"東証プライム","70","↓27","43","3132","マクニカＨＤ","4,287.0","+73.0","+1.73%","3.13%"
"東証プライム","71","NEW","","8367","南都銀","2,088.0","+83.0","+4.14%","3.11%"
"東証プライム","72","NEW","","4784","ＧＭＯインターネット","551.0","+23.0","+4.36%","3.09%"
"東証プライム","73","NEW","","7381","ＣＣＩグループ","1,370.0","+46.0","+3.47%","3.07%"
"東証プライム","74","NEW","","7167","めぶきＦＧ","1,729.5","+66.5","+4.00%","3.06%"
"東証プライム","75","NEW","","8331","千葉銀","2,834.5","+102.5","+3.75%","2.96%"
"東証プライム","76","NEW","","6728","アルバック","7,610.0","+179.0","+2.41%","2.96%"
"東証プライム","77","NEW","","8337","千葉興銀","2,777.0","+110.0","+4.12%","2.95%"
"東証プライム","78","NEW","","6971","京セラ","3,764.0","+114.0","+3.12%","2.95%"
"東証プライム","79","NEW","","9324","安田倉","2,798.0","+80.0","+2.94%","2.86%"
"東証プライム","80","NEW","","7186","横浜ＦＧ","1,930.5","+74.0","+3.99%","2.85%"
"東証プライム","81","NEW","","6727","ワコム","880.0","+29.0","+3.41%","2.84%"
"東証プライム","82","NEW","","7337","ひろぎんＨＤ","2,470.0","+87.5","+3.67%","2.83%"
"東証プライム","83","NEW","","8306","三菱ＵＦＪ","3,714.0","+141.0","+3.95%","2.80%"
"東証プライム","84","NEW","","3994","マネーフォワード","5,763.0","+60.0","+1.05%","2.78%"
"東証プライム","85","NEW","","4997","日農薬","1,222.0","+39.0","+3.30%","2.70%"
"東証プライム","86","↓48","38","7220","武蔵精密","2,973.0","+43.0","+1.47%","2.69%"
"東証プライム","87","NEW","","7384","プロクレアＨＤ","5,630.0","+230.0","+4.26%","2.66%"
"東証プライム","88","NEW","","8336","武蔵野銀","2,957.0","+109.0","+3.83%","2.64%"
"東証プライム","89","NEW","","9274","ＫＰＰグループＨＤ","1,176.0","+38.0","+3.34%","2.64%"
"東証プライム","90","NEW","","4022","ラサ工","1,900.0","+31.0","+1.66%","2.63%"
"東証プライム","91","NEW","","6481","ＴＨＫ","6,429.0","+194.0","+3.11%","2.63%"
"東証プライム","92","NEW","","7715","長野計器","4,185.0","+85.0","+2.07%","2.63%"
"東証プライム","93","NEW","","8411","みずほ","8,626.0","+346.0","+4.18%","2.62%"
"東証プライム","94","NEW","","6508","明電舎","11,460.0","+400.0","+3.62%","2.62%"
"東証プライム","95","NEW","","8600","トモニＨＤ","1,226.0","+46.0","+3.90%","2.61%"
"東証プライム","96","NEW","","8304","あおぞら","3,526.0","+123.0","+3.61%","2.61%"
"東証プライム","97","↓40","57","8159","立花エレ","4,410.0","+120.0","+2.80%","2.61%"
"東証プライム","98","NEW","","6859","エスペック","4,075.0","+100.0","+2.52%","2.58%"
"東証プライム","99","NEW","","5844","京都ＦＧ","4,869.0","+129.0","+2.72%","2.57%"
"東証プライム","100","NEW","","6857","アドバンテス","34,000.0","+940.0","+2.84%","2.56%"
"東証スタンダード","1","↑21","22","4935","リベルタ","174.0","+30.0","+20.83%","18.39%"
"東証スタンダード","2","NEW","","7883","サンメッセ","485.0","+80.0","+19.75%","15.46%"
"東証スタンダード","3","↑4","7","6904","原田工業","885.0","+136.0","+18.16%","14.69%"
"東証スタンダード","4","NEW","","2134","キタハマキャピタル","19.0","+2.0","+11.76%","10.53%"
"東証スタンダード","5","NEW","","8247","大和","370.0","+38.0","+11.45%","10.27%"
"東証スタンダード","6","↑2","8","7256","河西工","565.0","+50.0","+9.71%","9.38%"
"東証スタンダード","7","NEW","","4840","トライアイズ","762.0","+53.0","+7.48%","7.74%"
"東証スタンダード","8","NEW","","4120","スガイ化学工業","3,110.0","+228.0","+7.91%","7.30%"
"東証スタンダード","9","NEW","","1783","ｆａｎｔａｓｉｓｔａ","74.0","+6.0","+8.82%","6.76%"
"東証スタンダード","10","NEW","","2778","パレモ・ＨＤ","121.0","+8.0","+7.08%","6.61%"
"東証スタンダード","11","NEW","","7161","じもとＨＤ","663.0","+37.0","+5.91%","5.43%"
"東証スタンダード","12","NEW","","7886","ヤマトモビＭｆｇ","599.0","+12.0","+2.04%","5.34%"
"東証スタンダード","13","NEW","","3131","シンデンハイテク","7,950.0","+400.0","+5.30%","5.03%"
"東証スタンダード","14","NEW","","7746","岡本硝子","851.0","+39.0","+4.80%","4.82%"
"東証スタンダード","15","NEW","","3823","ＷＨＹ　ＨＯＷ　ＤＯ","42.0","+2.0","+5.00%","4.76%"
"東証スタンダード","16","NEW","","8537","大光銀","3,360.0","+130.0","+4.02%","4.46%"
"東証スタンダード","17","↑27","44","604A","ビーエイブル","1,502.0","+42.0","+2.88%","4.13%"
"東証スタンダード","18","NEW","","4746","東計電算","7,540.0","+310.0","+4.29%","4.11%"
"東証スタンダード","19","NEW","","4241","アテクト","756.0","+30.0","+4.13%","4.10%"
"東証スタンダード","20","NEW","","9976","セキチュー","1,200.0","+49.0","+4.26%","4.08%"
"東証スタンダード","21","NEW","","9127","玉井商船","3,710.0","+70.0","+1.92%","3.77%"
"東証スタンダード","22","NEW","","7847","グラファイトＤ","694.0","+34.0","+5.15%","3.75%"
"東証スタンダード","23","NEW","","6877","ＯＢＡＲＡ－Ｇ","5,930.0","+620.0","+11.68%","3.71%"
"東証スタンダード","24","NEW","","3845","アイフリーク","328.0","+8.0","+2.50%","3.66%"
"東証スタンダード","25","↑2","27","6928","エノモト","3,210.0","+95.0","+3.05%","3.58%"
"東証スタンダード","26","↓16","10","6890","フェローテック","10,640.0","+340.0","+3.30%","3.57%"
"東証スタンダード","27","NEW","","6918","アバール","4,060.0","+90.0","+2.27%","3.57%"
"東証スタンダード","28","NEW","","3177","ありがとうＳ","4,750.0","+180.0","+3.94%","3.47%"
"東証スタンダード","29","↓4","25","6862","ミナトＨＤ","5,690.0","+100.0","+1.79%","3.34%"
"東証スタンダード","30","NEW","","6993","大黒屋","90.0","+1.0","+1.12%","3.33%"
"東証スタンダード","31","NEW","","7634","星医療","5,430.0","+180.0","+3.43%","3.31%"
"東証スタンダード","32","NEW","","3103","ユニチカ","1,520.0","+50.0","+3.40%","3.29%"
"東証スタンダード","33","NEW","","8416","高知銀行","1,172.0","+49.0","+4.36%","3.24%"
"東証スタンダード","34","↑14","48","6265","コンバム","3,315.0","+85.0","+2.63%","3.17%"
"東証スタンダード","35","↓24","11","3374","内外テック","4,600.0","+155.0","+3.49%","3.15%"
"東証スタンダード","36","NEW","","8704","トレイダーズＨＤ","1,436.0","+45.0","+3.24%","3.13%"
"東証スタンダード","37","NEW","","3840","ヴィクトン","64.0","+1.0","+1.59%","3.13%"
"東証スタンダード","38","NEW","","6836","プラット","805.0","-5.0","-0.62%","3.11%"
"東証スタンダード","39","NEW","","2193","ＣＯＯＫＰＡＤ","130.0","+2.0","+1.56%","3.08%"
"東証スタンダード","40","NEW","","7760","ＩＭＶ","2,180.0","+60.0","+2.83%","3.07%"
"東証スタンダード","41","↑25","66","3350","メタプラネット","293.0","+5.0","+1.74%","3.07%"
"東証スタンダード","42","NEW","","7192","日本モーゲージＳ","722.0","+19.0","+2.70%","3.05%"
"東証スタンダード","43","NEW","","1827","ナカノフドー","1,449.0","+21.0","+1.47%","3.04%"
"東証スタンダード","44","NEW","","7521","ムサシ","2,779.0","+97.0","+3.62%","3.02%"
"東証スタンダード","45","NEW","","7567","栄電子","633.0","+22.0","+3.60%","3.00%"
"東証スタンダード","46","NEW","","8383","鳥取銀","1,976.0","+65.0","+3.40%","2.99%"
"東証スタンダード","47","NEW","","367A","プリモＧＨＤ","2,886.0","+136.0","+4.95%","2.98%"
"東証スタンダード","48","NEW","","8995","誠建設","1,951.0","+42.0","+2.20%","2.87%"
"東証スタンダード","49","NEW","","3267","フィル・カンパニー","628.0","+17.0","+2.78%","2.87%"
"東証スタンダード","50","NEW","","6337","テセック","3,665.0","+100.0","+2.81%","2.86%"
"東証スタンダード","51","NEW","","8562","福島銀","398.0","+13.0","+3.38%","2.76%"
"東証スタンダード","52","NEW","","6898","トミタ電機","4,895.0","+115.0","+2.41%","2.76%"
"東証スタンダード","53","NEW","","6748","星和電機","784.0","+18.0","+2.35%","2.68%"
"東証スタンダード","54","NEW","","9308","乾汽船","2,428.0","+73.0","+3.10%","2.68%"
"東証スタンダード","55","NEW","","8700","丸八証券","2,168.0","+38.0","+1.78%","2.68%"
"東証スタンダード","56","NEW","","1992","神田通機","2,965.0","-21.0","-0.70%","2.66%"
"東証スタンダード","57","NEW","","6226","守谷輸送機工業","2,229.0","+64.0","+2.96%","2.65%"
"東証スタンダード","58","NEW","","8365","富山銀行","2,422.0","+61.0","+2.58%","2.48%"
"東証スタンダード","59","↓7","52","4620","藤倉化","1,093.0","+24.0","+2.25%","2.47%"
"東証スタンダード","60","NEW","","5368","日本インシュレ","1,053.0","+27.0","+2.63%","2.47%"
"東証スタンダード","61","↑39","100","4286","ＣＬホールディングス","1,396.0","+40.0","+2.95%","2.44%"
"東証スタンダード","62","NEW","","4439","東名","829.0","+20.0","+2.47%","2.41%"
"東証スタンダード","63","NEW","","3113","ＵＮＩＶＡ・Ｏａｋ","83.0","+1.0","+1.22%","2.41%"
"東証スタンダード","64","NEW","","4979","ＯＡＴアグリオ","2,932.0","+70.0","+2.45%","2.39%"
"東証スタンダード","65","NEW","","2481","タウンニュース","721.0","+18.0","+2.56%","2.36%"
"東証スタンダード","66","↓60","6","6570","共和コーポレーション","3,825.0","+20.0","+0.53%","2.35%"
"東証スタンダード","67","NEW","","7480","スズデン","3,685.0","+80.0","+2.22%","2.31%"
"東証スタンダード","68","↓48","20","4100","戸田工","1,916.0","+61.0","+3.29%","2.30%"
"東証スタンダード","69","NEW","","6408","小倉クラッチ","4,400.0","+100.0","+2.33%","2.27%"
"東証スタンダード","70","NEW","","9212","ＧＥＩ","313.0","+7.0","+2.29%","2.24%"
"東証スタンダード","71","NEW","","5363","ＴＹＫ","725.0","+18.0","+2.55%","2.21%"
"東証スタンダード","72","NEW","","3173","Ｃｏｍｉｎｉｘ","1,452.0","+37.0","+2.61%","2.20%"
"東証スタンダード","73","NEW","","1866","北野建","1,141.0","+25.0","+2.24%","2.19%"
"東証スタンダード","74","NEW","","7812","クレステック","2,116.0","+34.0","+1.63%","2.17%"
"東証スタンダード","75","↓30","45","6466","ＴＶＥ","4,190.0","+95.0","+2.32%","2.15%"
"東証スタンダード","76","NEW","","6249","ゲームカードＨＤ","2,841.0","-39.0","-1.35%","2.15%"
"東証スタンダード","77","NEW","","7254","ユニバンス","840.0","+6.0","+0.72%","2.14%"
"東証スタンダード","78","NEW","","6469","放電精密","2,945.0","+59.0","+2.04%","2.14%"
"東証スタンダード","79","NEW","","9369","キユソ流通","2,994.0","+75.0","+2.57%","2.14%"
"東証スタンダード","80","NEW","","3321","ミタチ","1,855.0","+46.0","+2.54%","2.10%"
"東証スタンダード","81","NEW","","4059","まぐまぐ","384.0","+6.0","+1.59%","2.08%"
"東証スタンダード","82","NEW","","8769","ＡＲＭ","529.0","+7.0","+1.34%","2.08%"
"東証スタンダード","83","NEW","","8181","東天紅","1,010.0","+18.0","+1.81%","1.98%"
