市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","8057","内田洋行","2,347.0","+43.0","+1.87%","6.09%"
"東証プライム","2","NEW","","4180","Ａｐｐｉｅｒ","1,418.0","+89.0","+6.70%","5.22%"
"東証プライム","3","↑39","42","4088","エア・ウォーター","2,841.0","+151.0","+5.61%","4.96%"
"東証プライム","4","NEW","","6920","レーザーテック","33,690.0","+1,340.0","+4.14%","4.90%"
"東証プライム","5","NEW","","2531","宝ＨＬＤ","2,265.0","+98.5","+4.55%","4.70%"
"東証プライム","6","NEW","","8237","松屋","2,158.0","+100.0","+4.86%","4.63%"
"東証プライム","7","↑18","25","7826","フルヤ金属","10,360.0","+690.0","+7.14%","4.54%"
"東証プライム","8","NEW","","429A","テクセンド","3,790.0","+240.0","+6.76%","4.49%"
"東証プライム","9","NEW","","3046","ＪＩＮＳＨＤ","5,650.0","+160.0","+2.91%","4.42%"
"東証プライム","10","NEW","","4082","稀元素","2,611.0","+137.0","+5.54%","4.25%"
"東証プライム","11","NEW","","268A","リガク","1,576.0","+58.0","+3.82%","4.12%"
"東証プライム","12","NEW","","6351","鶴見製","2,600.0","+109.0","+4.38%","4.00%"
"東証プライム","13","NEW","","6302","住友重","5,779.0","+280.0","+5.09%","3.96%"
"東証プライム","14","NEW","","6619","ＷＳＣＯＰＥ","158.0","+5.0","+3.27%","3.80%"
"東証プライム","15","↓11","4","4506","住友ファーマ","1,673.5","+40.0","+2.45%","3.79%"
"東証プライム","16","NEW","","6454","マックス","1,871.0","+69.0","+3.83%","3.69%"
"東証プライム","17","NEW","","9508","九州電力","2,210.0","+87.0","+4.10%","3.64%"
"東証プライム","18","↓4","14","8798","アドバンスクリエイト","139.0","+4.0","+2.96%","3.60%"
"東証プライム","19","NEW","","6330","洋エンジ","2,609.0","+110.0","+4.40%","3.41%"
"東証プライム","20","NEW","","1515","日鉄鉱","3,540.0","+180.0","+5.36%","3.25%"
"東証プライム","21","NEW","","9503","関西電力","3,026.0","+123.0","+4.24%","3.17%"
"東証プライム","22","NEW","","3038","神戸物産","2,900.0","+89.5","+3.18%","3.10%"
"東証プライム","23","NEW","","9504","中国電力","1,062.5","+41.0","+4.01%","3.01%"
"東証プライム","24","NEW","","6395","タダノ","1,430.0","+62.0","+4.53%","3.01%"
"東証プライム","25","↓17","8","7384","プロクレアＨＤ","4,850.0","+215.0","+4.64%","2.99%"
"東証プライム","26","NEW","","4661","ＯＬＣ","3,101.0","+98.0","+3.26%","2.97%"
"東証プライム","27","NEW","","1801","大成建","12,775.0","+170.0","+1.35%","2.86%"
"東証プライム","28","NEW","","8174","日瓦斯","3,127.0","+92.0","+3.03%","2.85%"
"東証プライム","29","NEW","","8058","三菱商事","5,059.0","+199.0","+4.09%","2.75%"
"東証プライム","30","NEW","","6473","ジェイテクト","2,213.0","+68.0","+3.17%","2.60%"
"東証プライム","31","NEW","","5631","日製鋼所","7,288.0","+227.0","+3.21%","2.58%"
"東証プライム","32","NEW","","8729","ソニーＦＧ","163.6","+4.6","+2.89%","2.57%"
"東証プライム","33","NEW","","9507","四国電力","2,123.5","+87.5","+4.30%","2.54%"
"東証プライム","34","NEW","","8558","東和銀","1,496.0","+46.0","+3.17%","2.54%"
"東証プライム","35","NEW","","8014","蝶理","4,340.0","+95.0","+2.24%","2.53%"
"東証プライム","36","NEW","","7456","松田産","6,850.0","+270.0","+4.10%","2.48%"
"東証プライム","37","↓31","6","4565","ネクセラファーマ","1,180.0","+30.0","+2.61%","2.46%"
"東証プライム","38","NEW","","2674","ハードオフ","2,699.0","+66.0","+2.51%","2.45%"
"東証プライム","39","NEW","","8267","イオン","1,390.5","+32.0","+2.36%","2.45%"
"東証プライム","40","NEW","","9533","東邦瓦斯","1,282.5","+31.0","+2.48%","2.42%"
"東証プライム","41","NEW","","8541","愛媛銀","3,155.0","+85.0","+2.77%","2.38%"
"東証プライム","42","NEW","","3349","コスモス薬品","6,672.0","+258.0","+4.02%","2.37%"
"東証プライム","43","NEW","","9502","中部電力","2,978.5","+90.5","+3.13%","2.37%"
"東証プライム","44","NEW","","6723","ルネサス","3,291.0","+80.0","+2.49%","2.31%"
"東証プライム","45","NEW","","2433","博報堂ＤＹ","1,370.5","+23.0","+1.71%","2.30%"
"東証プライム","46","NEW","","9843","ニトリＨＤ","3,275.0","+254.0","+8.41%","2.29%"
"東証プライム","47","NEW","","7745","Ａ＆ＤホロンＨＤ","2,823.0","+95.0","+3.48%","2.16%"
"東証プライム","48","NEW","","6305","日立建機","6,030.0","+216.0","+3.72%","2.16%"
"東証プライム","49","NEW","","8031","三井物産","5,253.0","+134.0","+2.62%","2.15%"
"東証プライム","50","NEW","","4587","ペプチドリーム","1,098.0","+22.5","+2.09%","2.09%"
"東証プライム","51","NEW","","8158","ソーダニッカ","1,390.0","+41.0","+3.04%","2.09%"
"東証プライム","52","NEW","","9274","ＫＰＰグループＨＤ","1,105.0","+20.0","+1.84%","2.08%"
"東証プライム","53","NEW","","6289","技研製作所","1,874.0","+41.0","+2.24%","2.08%"
"東証プライム","54","NEW","","9535","広島ガス","434.0","+9.0","+2.12%","2.07%"
"東証プライム","55","NEW","","3626","ＴＩＳＩ","3,998.0","+81.0","+2.07%","2.03%"
"東証プライム","56","↓49","7","9534","北海瓦斯","942.0","+23.0","+2.50%","2.02%"
"東証プライム","57","↑36","93","8725","ＭＳ＆ＡＤ","5,211.0","+76.0","+1.48%","2.01%"
"東証プライム","58","NEW","","6250","やまびこ","4,480.0","+90.0","+2.05%","2.01%"
"東証プライム","59","NEW","","6432","竹内製作所","7,530.0","+210.0","+2.87%","1.99%"
"東証プライム","60","NEW","","3984","ユーザーローカル","1,507.0","+44.0","+3.01%","1.99%"
"東証プライム","61","NEW","","4828","ビーエンジ","1,416.0","+12.0","+0.85%","1.98%"
"東証プライム","62","NEW","","8876","リログループ","2,292.0","+45.0","+2.00%","1.96%"
"東証プライム","63","NEW","","4443","Ｓａｎｓａｎ","2,152.0","+41.0","+1.94%","1.95%"
"東証プライム","64","NEW","","8511","日証金","2,512.0","+52.0","+2.11%","1.95%"
"東証プライム","65","↓33","32","7911","ＴＯＰＰＡＮ　ＨＤ","5,046.0","+122.0","+2.48%","1.94%"
