市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","1980","ダイダン","2,846.0","+429.0","+17.75%","14.79%"
"東証プライム","2","NEW","","3036","アルコニックス","3,160.0","+501.0","+18.84%","14.27%"
"東証プライム","3","↑15","18","4968","荒川化学","2,337.0","+400.0","+20.65%","13.99%"
"東証プライム","4","NEW","","5702","大紀アルミ","1,765.0","+238.0","+15.59%","12.18%"
"東証プライム","5","↑3","8","4022","ラサ工","2,362.0","+327.0","+16.07%","12.02%"
"東証プライム","6","NEW","","4461","第一工業","14,100.0","+2,110.0","+17.60%","11.35%"
"東証プライム","7","NEW","","9412","スカパーＪＳＡＴ","2,500.0","+286.0","+12.92%","9.60%"
"東証プライム","8","NEW","","1814","大末建","3,800.0","+350.0","+10.14%","8.95%"
"東証プライム","9","NEW","","6278","ユニオンツール","19,100.0","+2,750.0","+16.82%","8.80%"
"東証プライム","10","NEW","","6617","東光高岳","8,550.0","+920.0","+12.06%","8.07%"
"東証プライム","11","NEW","","2395","新日科学","1,350.0","+113.0","+9.14%","7.85%"
"東証プライム","12","NEW","","4462","石原ケミカル","3,200.0","+321.0","+11.15%","7.81%"
"東証プライム","13","↑47","60","3132","マクニカＨＤ","3,846.0","+396.0","+11.48%","7.70%"
"東証プライム","14","NEW","","6999","ＫＯＡ","2,665.0","+239.0","+9.85%","7.09%"
"東証プライム","15","↑5","20","6254","野村マイクロ","4,605.0","+395.0","+9.38%","7.06%"
"東証プライム","16","↑66","82","8237","松屋","2,137.0","+177.0","+9.03%","7.02%"
"東証プライム","17","NEW","","7246","プレス工","937.0","+75.0","+8.70%","6.94%"
"東証プライム","18","NEW","","1975","朝日工","3,975.0","+235.0","+6.28%","6.92%"
"東証プライム","19","NEW","","7944","ローランド","4,600.0","+330.0","+7.73%","6.85%"
"東証プライム","20","NEW","","1961","三機工","2,456.0","+144.0","+6.23%","6.72%"
"東証プライム","21","NEW","","3941","レンゴー","1,614.5","+121.0","+8.10%","6.66%"
"東証プライム","22","↑29","51","6480","日トムソン","2,098.0","+178.0","+9.27%","6.58%"
"東証プライム","23","↓9","14","5074","テスホールディングス","781.0","+53.0","+7.28%","6.53%"
"東証プライム","24","NEW","","5715","古河機金","3,910.0","+320.0","+8.91%","6.39%"
"東証プライム","25","NEW","","4061","デンカ","3,871.0","+331.0","+9.35%","6.23%"
"東証プライム","26","NEW","","6740","ＪＤＩ","49.0","+3.0","+6.52%","6.12%"
"東証プライム","27","NEW","","6266","タツモ","4,585.0","+420.0","+10.08%","6.11%"
"東証プライム","28","NEW","","6981","村田製","7,829.0","+700.0","+9.82%","6.11%"
"東証プライム","29","NEW","","2760","東エレデバ","4,535.0","+385.0","+9.28%","6.06%"
"東証プライム","30","NEW","","4368","扶桑化学","4,255.0","+345.0","+8.82%","5.99%"
"東証プライム","31","NEW","","4813","ＡＣＣＥＳＳ","370.0","+25.0","+7.25%","5.95%"
"東証プライム","32","↑23","55","4109","ステラケミファ","5,740.0","+410.0","+7.69%","5.92%"
"東証プライム","33","↓7","26","3778","さくらインターネット","3,555.0","+195.0","+5.80%","5.91%"
"東証プライム","34","NEW","","6844","新電元","3,900.0","+355.0","+10.01%","5.90%"
"東証プライム","35","NEW","","6787","メイコー","24,800.0","+2,760.0","+12.52%","5.89%"
"東証プライム","36","↑29","65","7995","バルカー","7,540.0","+640.0","+9.28%","5.84%"
"東証プライム","37","↑35","72","6779","日電波","2,973.0","+277.0","+10.27%","5.82%"
"東証プライム","38","↑16","54","7966","リンテック","6,920.0","+480.0","+7.45%","5.78%"
"東証プライム","39","NEW","","6871","日マイクロニクス","15,920.0","+1,490.0","+10.33%","5.78%"
"東証プライム","40","↓37","3","3110","日東紡","3,555.0","+385.0","+12.15%","5.77%"
"東証プライム","41","NEW","","2212","山崎パン","3,425.0","+165.0","+5.06%","5.69%"
"東証プライム","42","NEW","","5901","洋缶ＨＤ","4,239.0","+244.0","+6.11%","5.64%"
"東証プライム","43","NEW","","546A","ＭＩＲＡＩＮＩ","2,661.0","+181.0","+7.30%","5.64%"
"東証プライム","44","NEW","","8364","清水銀","2,697.0","+184.0","+7.32%","5.64%"
"東証プライム","45","NEW","","6368","オルガノ","15,625.0","+1,275.0","+8.89%","5.57%"
"東証プライム","46","NEW","","9984","ソフトバンクグループ","5,958.0","+730.0","+13.96%","5.54%"
"東証プライム","47","↑19","66","5016","ＪＸ金属","4,350.0","+379.0","+9.54%","5.49%"
"東証プライム","48","↑9","57","5726","大阪チタ","3,200.0","+225.0","+7.56%","5.47%"
"東証プライム","49","↓2","47","7537","丸文","1,793.0","+128.0","+7.69%","5.47%"
"東証プライム","50","NEW","","6814","古野電気","7,890.0","+500.0","+6.77%","5.45%"
"東証プライム","51","NEW","","4369","トリケミカル","3,670.0","+295.0","+8.74%","5.45%"
"東証プライム","52","↑22","74","4187","大有機化","5,180.0","+395.0","+8.25%","5.41%"
"東証プライム","53","NEW","","7220","武蔵精密","3,570.0","+285.0","+8.68%","5.32%"
"東証プライム","54","NEW","","1952","新日空調","3,485.0","+215.0","+6.57%","5.31%"
"東証プライム","55","NEW","","3663","セルシス","1,796.0","+95.0","+5.58%","5.29%"
"東証プライム","56","↓14","42","6324","ハーモニック","7,390.0","+550.0","+8.04%","5.28%"
"東証プライム","57","↓32","25","5384","ＦＵＪＩＭＩ","4,490.0","+390.0","+9.51%","5.23%"
"東証プライム","58","NEW","","7715","長野計器","4,220.0","+285.0","+7.24%","5.21%"
"東証プライム","59","↑22","81","6754","アンリツ","3,833.0","+220.0","+6.09%","5.17%"
"東証プライム","60","NEW","","6140","旭ダイヤ","1,210.0","+74.0","+6.51%","5.04%"
"東証プライム","61","NEW","","7245","大同メタル","1,531.0","+129.0","+9.20%","5.03%"
"東証プライム","62","NEW","","4112","保土谷化","2,128.0","+107.0","+5.29%","5.03%"
"東証プライム","63","NEW","","6258","平田機工","3,200.0","+215.0","+7.20%","5.00%"
"東証プライム","64","↑21","85","8050","セイコーＧ","9,420.0","+520.0","+5.84%","4.99%"
"東証プライム","65","NEW","","6445","ジャノメ","1,348.0","+72.0","+5.64%","4.97%"
"東証プライム","66","NEW","","8362","福井銀","5,850.0","+310.0","+5.60%","4.96%"
"東証プライム","67","↑9","76","5208","有沢製","2,760.0","+203.0","+7.94%","4.86%"
"東証プライム","68","NEW","","4220","リケンテクノス","2,809.0","+136.0","+5.09%","4.84%"
"東証プライム","69","NEW","","7951","ヤマハ","1,315.0","+70.5","+5.66%","4.83%"
"東証プライム","70","NEW","","6235","オプトラン","3,320.0","+205.0","+6.58%","4.82%"
"東証プライム","71","NEW","","4047","関電化","3,080.0","+243.0","+8.57%","4.81%"
"東証プライム","72","NEW","","4203","住友ベーク","7,869.0","+429.0","+5.77%","4.79%"
"東証プライム","73","↓58","15","5803","フジクラ","5,073.0","+445.0","+9.62%","4.79%"
"東証プライム","74","NEW","","7296","ＦＣＣ","4,095.0","+295.0","+7.76%","4.76%"
"東証プライム","75","↓69","6","6302","住友重","5,997.0","+277.0","+4.84%","4.75%"
"東証プライム","76","↑12","88","6622","ダイヘン","15,200.0","+420.0","+2.84%","4.74%"
"東証プライム","77","↓15","62","4004","レゾナックＨＤ","16,175.0","+1,490.0","+10.15%","4.70%"
"東証プライム","78","NEW","","5741","ＵＡＣＪ","2,518.0","+165.0","+7.01%","4.69%"
"東証プライム","79","NEW","","7979","松風","2,202.0","+124.0","+5.97%","4.68%"
"東証プライム","80","NEW","","6997","日ケミコン","3,550.0","+305.0","+9.40%","4.65%"
"東証プライム","81","↓11","70","6653","正興電機製作所","2,360.0","+138.0","+6.21%","4.58%"
"東証プライム","82","↓54","28","6866","日置電","13,210.0","+990.0","+8.10%","4.54%"
"東証プライム","83","NEW","","6136","ＯＳＧ","3,990.0","+302.0","+8.19%","4.54%"
"東証プライム","84","↓43","41","5707","東邦鉛","958.0","+53.0","+5.86%","4.49%"
"東証プライム","85","NEW","","8524","北洋銀行","1,216.0","+66.0","+5.74%","4.44%"
"東証プライム","86","↓28","58","4971","メック","9,940.0","+1,190.0","+13.60%","4.43%"
"東証プライム","87","NEW","","5121","藤コンポ","2,749.0","+168.0","+6.51%","4.40%"
"東証プライム","88","NEW","","5332","ＴＯＴＯ","6,644.0","+349.0","+5.54%","4.39%"
"東証プライム","89","NEW","","3101","東洋紡","1,691.0","+108.0","+6.82%","4.32%"
"東証プライム","90","NEW","","6616","トレックスセミ","2,001.0","+116.0","+6.15%","4.30%"
"東証プライム","91","↓79","12","6143","ソディック","1,946.0","+153.0","+8.53%","4.27%"
"東証プライム","92","NEW","","6861","キーエンス","87,380.0","+4,480.0","+5.40%","4.25%"
"東証プライム","93","NEW","","6850","チノー","1,697.0","+73.0","+4.50%","4.24%"
"東証プライム","94","NEW","","7637","白銅","3,790.0","+210.0","+5.87%","4.22%"
"東証プライム","95","NEW","","7003","三井Ｅ＆Ｓ","4,279.0","+209.0","+5.14%","4.21%"
"東証プライム","96","NEW","","7236","ティラド","1,529.0","+77.0","+5.30%","4.19%"
"東証プライム","97","↓38","59","5706","三井金属","35,380.0","+3,480.0","+10.91%","4.18%"
"東証プライム","98","NEW","","6134","ＦＵＪＩ","8,485.0","+342.0","+4.20%","4.17%"
"東証プライム","99","NEW","","8511","日証金","2,455.0","+111.0","+4.74%","4.15%"
"東証プライム","100","NEW","","8395","佐賀銀","5,800.0","+300.0","+5.45%","4.14%"
"東証スタンダード","1","↑1","2","3907","シリコンスタジオ","1,510.0","+300.0","+24.79%","17.22%"
"東証スタンダード","2","NEW","","4635","東インキ","1,673.0","+300.0","+21.85%","16.32%"
"東証スタンダード","3","↑66","69","6994","指月電","1,259.0","+187.0","+17.44%","11.44%"
"東証スタンダード","4","NEW","","3954","ＰＡＸＸＳ","3,290.0","+490.0","+17.50%","10.09%"
"東証スタンダード","5","NEW","","3103","ユニチカ","1,009.0","+133.0","+15.18%","9.42%"
"東証スタンダード","6","↑65","71","7713","シグマ光機","2,246.0","+240.0","+11.96%","9.22%"
"東証スタンダード","7","NEW","","9913","日邦産業","3,400.0","+310.0","+10.03%","9.12%"
"東証スタンダード","8","NEW","","8918","ランド","11.0","0.0","0.00%","9.09%"
"東証スタンダード","9","↑48","57","5449","大阪製鉄","2,732.0","+284.0","+11.60%","8.57%"
"東証スタンダード","10","NEW","","6946","日アビオ","6,090.0","+550.0","+9.93%","8.37%"
"東証スタンダード","11","NEW","","1965","テクノ菱和","6,490.0","+700.0","+12.09%","7.70%"
"東証スタンダード","12","NEW","","6599","エブレン","3,270.0","+270.0","+9.00%","7.49%"
"東証スタンダード","13","NEW","","4100","戸田工","1,563.0","+123.0","+8.54%","6.72%"
"東証スタンダード","14","↑34","48","7162","アストマックス","276.0","+14.0","+5.34%","6.52%"
"東証スタンダード","15","NEW","","5998","アドバネクス","2,794.0","+135.0","+5.08%","6.51%"
"東証スタンダード","16","NEW","","4691","ワシントンホテル","2,314.0","+164.0","+7.63%","6.48%"
"東証スタンダード","17","NEW","","2315","ＣＡＩＣＡ　Ｄ","64.0","+3.0","+4.92%","6.25%"
"東証スタンダード","18","↓10","8","6125","岡本工機","5,860.0","+390.0","+7.13%","6.14%"
"東証スタンダード","19","NEW","","9115","明海グループ","912.0","+66.0","+7.80%","5.59%"
"東証スタンダード","20","↑61","81","6998","日タングス","2,118.0","+131.0","+6.59%","5.57%"
"東証スタンダード","21","↓12","9","5381","マイポックス","907.0","+60.0","+7.08%","5.51%"
"東証スタンダード","22","NEW","","7477","ムラキ","1,623.0","+49.0","+3.11%","5.48%"
"東証スタンダード","23","NEW","","6855","電子材料","7,280.0","+790.0","+12.17%","5.36%"
"東証スタンダード","24","NEW","","7727","オーバル","773.0","+46.0","+6.33%","5.30%"
"東証スタンダード","25","NEW","","6492","岡野バル","15,090.0","+1,330.0","+9.67%","5.17%"
"東証スタンダード","26","↑35","61","3159","丸善ＣＨＩ","411.0","+21.0","+5.38%","5.11%"
"東証スタンダード","27","NEW","","7256","河西工","453.0","+29.0","+6.84%","5.08%"
"東証スタンダード","28","↑5","33","6518","三相電機","2,115.0","+136.0","+6.87%","5.06%"
"東証スタンダード","29","↑24","53","3449","テクノフレックス","5,150.0","+385.0","+8.08%","5.05%"
"東証スタンダード","30","NEW","","9854","愛眼","280.0","+16.0","+6.06%","5.00%"
"東証スタンダード","31","NEW","","1921","巴","1,925.0","+56.0","+3.00%","4.99%"
"東証スタンダード","32","↓2","30","6627","テラプローブ","12,930.0","+1,700.0","+15.14%","4.95%"
"東証スタンダード","33","↓12","21","6666","リバーエレテク","882.0","+58.0","+7.04%","4.88%"
"東証スタンダード","34","NEW","","3856","Ａｂａｌａｎｃｅ","330.0","0.0","0.00%","4.85%"
"東証スタンダード","35","NEW","","7561","ハークスレイＨＤ","705.0","+42.0","+6.33%","4.82%"
"東証スタンダード","36","NEW","","3446","ＪＴＥＣＣＯＲＰ","1,598.0","+87.0","+5.76%","4.82%"
"東証スタンダード","37","NEW","","6656","ＩＮＳＰＥＣ","1,019.0","+77.0","+8.17%","4.81%"
"東証スタンダード","38","NEW","","8841","テーオーシー","939.0","+30.0","+3.30%","4.79%"
"東証スタンダード","39","↑21","60","4970","東洋合成","15,100.0","+1,410.0","+10.30%","4.77%"
"東証スタンダード","40","NEW","","6203","豊和工","1,475.0","+92.0","+6.65%","4.75%"
"東証スタンダード","41","NEW","","4222","児玉化","613.0","+23.0","+3.90%","4.73%"
"東証スタンダード","42","NEW","","4972","綜研化学","3,325.0","+225.0","+7.26%","4.66%"
"東証スタンダード","43","NEW","","7480","スズデン","3,370.0","+469.0","+16.17%","4.60%"
"東証スタンダード","44","NEW","","3168","ＭＥＲＦ","1,395.0","+85.0","+6.49%","4.59%"
"東証スタンダード","45","NEW","","5304","ＳＥＣカーボン","2,602.0","+114.0","+4.58%","4.57%"
"東証スタンダード","46","NEW","","1793","大本組","2,084.0","+96.0","+4.83%","4.56%"
