市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑40","41","7034","プロレドパートナーズ","453.0","+54.0","+13.53%","7.73%"
"東証プライム","2","NEW","","3697","ＳＨＩＦＴ","807.0","+61.2","+8.21%","7.41%"
"東証プライム","3","↑72","75","8541","愛媛銀","2,794.0","+286.0","+11.40%","6.66%"
"東証プライム","4","NEW","","9602","東宝","1,446.5","+88.0","+6.48%","6.19%"
"東証プライム","5","NEW","","3994","マネーフォワード","5,407.0","+291.0","+5.69%","5.96%"
"東証プライム","6","NEW","","2874","ヨコレイ","2,152.0","-22.0","-1.01%","5.95%"
"東証プライム","7","NEW","","8362","福井銀","6,180.0","+250.0","+4.22%","5.66%"
"東証プライム","8","NEW","","8387","四国銀","3,465.0","+150.0","+4.52%","5.48%"
"東証プライム","9","↑81","90","8343","秋田銀","7,670.0","+330.0","+4.50%","5.48%"
"東証プライム","10","NEW","","8919","カチタス","3,310.0","+100.0","+3.12%","5.14%"
"東証プライム","11","↑59","70","8388","阿波銀","8,680.0","+340.0","+4.08%","5.07%"
"東証プライム","12","NEW","","3091","ブロンコＢ","2,540.0","+87.0","+3.55%","4.92%"
"東証プライム","13","NEW","","2492","インフォマート","521.0","+19.0","+3.78%","4.61%"
"東証プライム","14","↑10","24","8360","山梨中銀","7,090.0","+220.0","+3.20%","4.51%"
"東証プライム","15","NEW","","8344","山形銀","4,000.0","+65.0","+1.65%","4.50%"
"東証プライム","16","→","16","4733","ＯＢＣ","7,638.0","+623.0","+8.88%","4.23%"
"東証プライム","17","↑46","63","8364","清水銀","2,787.0","+67.0","+2.46%","4.20%"
"東証プライム","18","↑18","36","8361","大垣銀","8,120.0","+190.0","+2.40%","4.19%"
"東証プライム","19","NEW","","3046","ＪＩＮＳＨＤ","6,910.0","+380.0","+5.82%","4.05%"
"東証プライム","20","NEW","","6745","ホーチキ","1,955.0","+40.0","+2.09%","3.99%"
"東証プライム","21","↑9","30","7419","ノジマ","1,439.0","+38.0","+2.71%","3.75%"
"東証プライム","22","↑1","23","8392","大分銀","2,790.0","+51.0","+1.86%","3.62%"
"東証プライム","23","NEW","","6961","エンプラス","13,150.0","+400.0","+3.14%","3.57%"
"東証プライム","24","↓10","14","3656","ＫＬａｂ","224.0","+5.0","+2.28%","3.57%"
"東証プライム","25","NEW","","9605","東映","5,890.0","+170.0","+2.97%","3.57%"
"東証プライム","26","NEW","","6460","セガサミーＨＤ","2,520.0","+89.0","+3.66%","3.53%"
"東証プライム","27","NEW","","9278","ブックオフＧＨＤ","2,598.0","+90.0","+3.59%","3.50%"
"東証プライム","28","↑9","37","3382","７＆ｉＨＤ","2,146.0","+66.0","+3.17%","3.47%"
"東証プライム","29","NEW","","9960","東テク","4,090.0","+115.0","+2.89%","3.42%"
"東証プライム","30","NEW","","8395","佐賀銀","5,910.0","+100.0","+1.72%","3.38%"
"東証プライム","31","NEW","","7731","ニコン","2,247.0","+25.0","+1.13%","3.34%"
"東証プライム","32","↑22","54","8399","琉球銀","2,999.0","+50.0","+1.70%","3.33%"
"東証プライム","33","NEW","","8346","東邦銀","904.0","+15.0","+1.69%","3.32%"
"東証プライム","34","NEW","","4687","ＴＤＣソフト","1,006.0","+30.0","+3.07%","3.28%"
"東証プライム","35","↑64","99","7167","めぶきＦＧ","1,541.0","+25.5","+1.68%","3.28%"
"東証プライム","36","↓17","19","7184","富山第一銀行","3,065.0","+30.0","+0.99%","3.26%"
"東証プライム","37","↑35","72","7581","サイゼリヤ","7,430.0","+10.0","+0.13%","3.23%"
"東証プライム","38","↑21","59","8600","トモニＨＤ","1,024.0","+19.0","+1.89%","3.22%"
"東証プライム","39","NEW","","3923","ラクス","960.8","+1.6","+0.17%","3.21%"
"東証プライム","40","NEW","","8129","東邦ＨＤ","4,101.0","+118.0","+2.96%","3.19%"
"東証プライム","41","↓13","28","8522","名古屋銀","6,890.0","+80.0","+1.17%","3.19%"
"東証プライム","42","NEW","","9861","吉野家ＨＤ","3,612.0","+103.0","+2.94%","3.18%"
"東証プライム","43","NEW","","6999","ＫＯＡ","2,782.0","+288.0","+11.55%","3.16%"
"東証プライム","44","NEW","","2222","寿スピリッツ","2,434.0","+1.0","+0.04%","3.04%"
"東証プライム","45","NEW","","8795","Ｔ＆ＤＨＤ","5,104.0","+55.0","+1.09%","3.04%"
"東証プライム","46","NEW","","8154","加賀電子","4,355.0","+70.0","+1.63%","2.99%"
"東証プライム","47","NEW","","6532","ベイカレント","6,522.0","+292.0","+4.69%","2.94%"
"東証プライム","48","NEW","","4661","ＯＬＣ","2,682.5","+52.5","+2.00%","2.89%"
"東証プライム","49","NEW","","3391","ツルハＨＤ","2,401.0","+36.0","+1.52%","2.87%"
"東証プライム","50","NEW","","7504","高速","3,830.0","+100.0","+2.68%","2.87%"
"東証プライム","51","NEW","","8381","山陰合銀","2,511.0","+32.0","+1.29%","2.87%"
"東証プライム","52","↓20","32","8370","紀陽銀行","4,945.0","+70.0","+1.44%","2.83%"
"東証プライム","53","↓11","42","8551","北日本銀","6,790.0","+150.0","+2.26%","2.80%"
"東証プライム","54","NEW","","7476","アズワン","2,445.0","+22.5","+0.93%","2.78%"
"東証プライム","55","↓44","11","8544","京葉銀","2,844.0","+66.0","+2.38%","2.78%"
"東証プライム","56","NEW","","2327","ＮＳＳＯＬ","3,800.0","+80.0","+2.15%","2.76%"
"東証プライム","57","NEW","","6200","インソース","724.0","+25.0","+3.58%","2.76%"
"東証プライム","58","NEW","","2678","アスクル","1,235.0","+25.0","+2.07%","2.75%"
"東証プライム","59","NEW","","9746","ＴＫＣ","3,655.0","+30.0","+0.83%","2.74%"
"東証プライム","60","NEW","","8550","栃木銀","1,028.0","+4.0","+0.39%","2.72%"
"東証プライム","61","NEW","","7337","ひろぎんＨＤ","2,304.0","+33.5","+1.48%","2.71%"
"東証プライム","62","NEW","","9041","近鉄ＧＨＤ","3,479.0","+66.0","+1.93%","2.70%"
"東証プライム","63","↓46","17","2264","森永乳","1,258.5","+14.0","+1.12%","2.70%"
"東証プライム","64","NEW","","8386","百十四銀","2,966.0","+62.0","+2.13%","2.70%"
"東証プライム","65","NEW","","9021","ＪＲ西","2,975.0","+53.5","+1.83%","2.69%"
"東証プライム","66","NEW","","8338","筑波銀行","670.0","+8.0","+1.21%","2.69%"
"東証プライム","67","NEW","","1975","朝日工","4,125.0","+100.0","+2.48%","2.67%"
"東証プライム","68","NEW","","9101","郵船","5,946.0","+129.0","+2.22%","2.66%"
"東証プライム","69","NEW","","1976","明星工業","1,952.0","+30.0","+1.56%","2.61%"
"東証プライム","70","NEW","","9042","阪急阪神","4,719.0","+109.0","+2.36%","2.61%"
"東証プライム","71","NEW","","9433","ＫＤＤＩ","2,922.5","+52.0","+1.81%","2.60%"
"東証プライム","72","NEW","","6727","ワコム","770.0","+14.0","+1.85%","2.60%"
"東証プライム","73","↓7","66","6379","レイズネクスト","2,619.0","+37.0","+1.43%","2.60%"
"東証プライム","74","NEW","","3191","ジョイフル本田","2,315.0","+42.0","+1.85%","2.59%"
"東証プライム","75","↓54","21","7350","おきなわＦＧ","7,360.0","+60.0","+0.82%","2.58%"
"東証プライム","76","NEW","","2501","サッポロビール","1,996.0","+41.5","+2.12%","2.58%"
"東証プライム","77","NEW","","4722","フューチャー","2,210.0","+27.0","+1.24%","2.58%"
"東証プライム","78","NEW","","7003","三井Ｅ＆Ｓ","4,877.0","+137.0","+2.89%","2.56%"
"東証プライム","79","NEW","","9889","ＪＢＣＣ　ＨＤ","1,450.0","+22.0","+1.54%","2.55%"
"東証プライム","80","NEW","","2331","ＡＬＳＯＫ","1,157.5","+21.0","+1.85%","2.55%"
"東証プライム","81","NEW","","8524","北洋銀行","1,217.0","+8.0","+0.66%","2.55%"
"東証プライム","82","↓36","46","8393","宮崎銀","2,478.0","+19.0","+0.77%","2.54%"
"東証プライム","83","NEW","","3093","トレファク","2,085.0","+18.0","+0.87%","2.54%"
"東証プライム","84","NEW","","9601","松竹","11,110.0","+310.0","+2.87%","2.52%"
"東証プライム","85","NEW","","8336","武蔵野銀","2,741.0","+19.0","+0.70%","2.52%"
"東証プライム","86","↑14","100","8136","サンリオ","1,159.5","+16.5","+1.44%","2.50%"
"東証プライム","87","↑7","94","7173","東京きらぼしＦＧ","1,772.0","+14.0","+0.80%","2.48%"
"東証プライム","88","NEW","","8334","群馬銀","2,609.0","+14.0","+0.54%","2.45%"
"東証プライム","89","↓10","79","8377","ほくほく","7,714.0","+43.0","+0.56%","2.44%"
"東証プライム","90","NEW","","9948","アークス","3,495.0","+40.0","+1.16%","2.43%"
"東証プライム","91","NEW","","3076","あいＨＤ","2,732.0","+48.0","+1.79%","2.42%"
"東証プライム","92","↓70","22","9702","アイエスビー","2,277.0","+35.0","+1.56%","2.42%"
"東証プライム","93","NEW","","2433","博報堂ＤＹ","1,244.0","+24.5","+2.01%","2.41%"
"東証プライム","94","NEW","","7322","３３ＦＧ","1,997.0","+20.0","+1.01%","2.40%"
"東証プライム","95","NEW","","8273","イズミ","999.0","+16.0","+1.63%","2.40%"
"東証プライム","96","NEW","","8359","八十二長野銀行","2,674.0","+21.5","+0.81%","2.39%"
"東証プライム","97","NEW","","9519","レノバ","1,005.0","+28.0","+2.87%","2.39%"
"東証プライム","98","NEW","","8173","Ｊｏｓｈｉｎ","3,770.0","+90.0","+2.45%","2.39%"
"東証プライム","99","NEW","","6269","三井海洋","10,500.0","+290.0","+2.84%","2.38%"
"東証プライム","100","NEW","","2270","雪印メグ","3,795.0","+85.0","+2.29%","2.37%"
"東証スタンダード","1","↑2","3","2354","ＹＥ　ＤＩＧＩＴＡＬ","1,600.0","+160.0","+11.11%","13.75%"
"東証スタンダード","2","NEW","","1723","日本電技","2,510.0","+318.0","+14.51%","11.00%"
"東証スタンダード","3","NEW","","8918","ランド","11.0","+1.0","+10.00%","9.09%"
"東証スタンダード","4","NEW","","8247","大和","301.0","+20.0","+7.12%","6.64%"
"東証スタンダード","5","↑3","8","4935","リベルタ","312.0","+12.0","+4.00%","6.41%"
"東証スタンダード","6","NEW","","8139","ナガホリ","2,136.0","+97.0","+4.76%","5.99%"
"東証スタンダード","7","NEW","","3907","シリコンスタジオ","1,110.0","+56.0","+5.31%","5.95%"
"東証スタンダード","8","NEW","","3810","サイバーステップＨＤ","160.0","+8.0","+5.26%","5.63%"
"東証スタンダード","9","NEW","","1965","テクノ菱和","6,570.0","+380.0","+6.14%","5.02%"
"東証スタンダード","10","NEW","","9973","ＫＯＺＯＨＤ","21.0","+1.0","+5.00%","4.76%"
"東証スタンダード","11","NEW","","6226","守谷輸送機工業","2,611.0","+106.0","+4.23%","4.75%"
"東証スタンダード","12","NEW","","3841","ジーダット","1,289.0","+90.0","+7.51%","4.65%"
"東証スタンダード","13","NEW","","1960","サンテック","1,540.0","+70.0","+4.76%","4.55%"
"東証スタンダード","14","NEW","","5380","新東","1,099.0","+49.0","+4.67%","4.46%"
"東証スタンダード","15","↑18","33","6469","放電精密","2,710.0","+91.0","+3.47%","4.43%"
"東証スタンダード","16","NEW","","6159","ミクロン精密","1,935.0","+125.0","+6.91%","4.39%"
"東証スタンダード","17","NEW","","6016","ジャパンエンジン","9,360.0","+420.0","+4.70%","4.38%"
"東証スタンダード","18","NEW","","2437","シンワワイズ","619.0","+24.0","+4.03%","4.20%"
"東証スタンダード","19","NEW","","7030","スプリックス","1,126.0","+60.0","+5.63%","4.17%"
"東証スタンダード","20","NEW","","9308","乾汽船","1,736.0","+36.0","+2.12%","4.09%"
"東証スタンダード","21","↑6","27","2134","キタハマキャピタル","25.0","0.0","0.00%","4.00%"
"東証スタンダード","22","NEW","","9115","明海グループ","891.0","+46.0","+5.44%","3.93%"
"東証スタンダード","23","NEW","","1736","オーテック","2,602.0","+52.0","+2.04%","3.92%"
"東証スタンダード","24","NEW","","8254","さいか屋","265.0","+10.0","+3.92%","3.77%"
"東証スタンダード","25","NEW","","3083","スターシーズ","962.0","+36.0","+3.89%","3.74%"
"東証スタンダード","26","NEW","","5071","ヴィス","1,438.0","+43.0","+3.08%","3.69%"
"東証スタンダード","27","NEW","","4657","環境管理","467.0","+2.0","+0.43%","3.64%"
"東証スタンダード","28","NEW","","8135","ゼット","441.0","+14.0","+3.28%","3.63%"
"東証スタンダード","29","NEW","","3926","オープンドア","391.0","+17.0","+4.55%","3.58%"
"東証スタンダード","30","NEW","","1407","ウエストＨＤ","2,800.0","+105.0","+3.90%","3.57%"
"東証スタンダード","31","↓11","20","3306","日製麻","805.0","+26.0","+3.34%","3.48%"
"東証スタンダード","32","↑8","40","3997","トレードワークス","358.0","+7.0","+1.99%","3.35%"
"東証スタンダード","33","NEW","","3672","オルトプラス","30.0","+1.0","+3.45%","3.33%"
"東証スタンダード","34","NEW","","8085","ナラサキ","4,365.0","+140.0","+3.31%","3.32%"
"東証スタンダード","35","NEW","","8537","大光銀","2,889.0","+66.0","+2.34%","3.08%"
"東証スタンダード","36","NEW","","4439","東名","817.0","+26.0","+3.29%","3.06%"
"東証スタンダード","37","NEW","","8769","ＡＲＭ","523.0","+9.0","+1.75%","3.06%"
"東証スタンダード","38","NEW","","2338","クオンタムＳ","132.0","+4.0","+3.13%","3.03%"
"東証スタンダード","39","↑5","44","2484","出前館","137.0","+2.0","+1.48%","2.92%"
"東証スタンダード","40","NEW","","9733","ナガセ","2,286.0","-57.0","-2.43%","2.89%"
"東証スタンダード","41","NEW","","9845","パーカー","1,572.0","+39.0","+2.54%","2.86%"
"東証スタンダード","42","NEW","","6637","寺崎電気","4,075.0","+145.0","+3.69%","2.82%"
"東証スタンダード","43","NEW","","6736","サン電子","9,260.0","+270.0","+3.00%","2.81%"
"東証スタンダード","44","NEW","","4936","アクシージア","360.0","+10.0","+2.86%","2.78%"
"東証スタンダード","45","NEW","","3791","ＩＧポート","964.0","+25.0","+2.66%","2.70%"
"東証スタンダード","46","NEW","","9365","トレーディア","1,700.0","+50.0","+3.03%","2.65%"
"東証スタンダード","47","↓31","16","7175","今村証券","1,720.0","+52.0","+3.12%","2.62%"
"東証スタンダード","48","NEW","","8563","大東銀","1,045.0","+11.0","+1.06%","2.58%"
"東証スタンダード","49","NEW","","7901","マツモト","814.0","+13.0","+1.62%","2.58%"
"東証スタンダード","50","NEW","","2892","日食化","4,555.0","+45.0","+1.00%","2.52%"
"東証スタンダード","51","NEW","","5571","エキサイトＨＤ","1,000.0","+10.0","+1.01%","2.50%"
"東証スタンダード","52","NEW","","2782","セリア","3,805.0","+80.0","+2.15%","2.50%"
"東証スタンダード","53","NEW","","6834","精工技研","20,540.0","0.0","0.00%","2.43%"
"東証スタンダード","54","NEW","","6366","千代化建","707.0","+2.0","+0.28%","2.40%"
"東証スタンダード","55","NEW","","2351","ＡＳＪ","340.0","+3.0","+0.89%","2.35%"
"東証スタンダード","56","NEW","","3137","ファンデリー","215.0","-1.0","-0.46%","2.33%"
"東証スタンダード","57","NEW","","7486","サンリン","775.0","-6.0","-0.77%","2.32%"
"東証スタンダード","58","↓40","18","6946","日アビオ","5,360.0","+190.0","+3.68%","2.24%"
"東証スタンダード","59","NEW","","7018","内海造","10,830.0","+220.0","+2.07%","2.22%"
"東証スタンダード","60","NEW","","3177","ありがとうＳ","4,085.0","+110.0","+2.77%","2.20%"
"東証スタンダード","61","NEW","","9978","文教堂ＨＤ","46.0","+1.0","+2.22%","2.17%"
"東証スタンダード","62","NEW","","9876","コックス","234.0","+5.0","+2.18%","2.14%"
"東証スタンダード","63","NEW","","8996","ハウスフリーダム","1,035.0","+20.0","+1.97%","2.13%"
"東証スタンダード","64","NEW","","2464","Ａｏｂａ‐ＢＢＴ","334.0","+3.0","+0.91%","2.10%"
"東証スタンダード","65","NEW","","4107","伊勢化","3,580.0","+30.0","+0.85%","2.09%"
"東証スタンダード","66","NEW","","4616","川上塗料","1,993.0","+28.0","+1.42%","2.06%"
"東証スタンダード","67","NEW","","5250","ＧＭＯプライム","1,025.0","-9.0","-0.87%","2.05%"
"東証スタンダード","68","NEW","","6659","メディアリンクス","51.0","+1.0","+2.00%","1.96%"
"東証スタンダード","69","NEW","","4287","ジャストプラ","475.0","+8.0","+1.71%","1.89%"
"東証スタンダード","70","NEW","","4752","昭和システム","1,544.0","-1.0","-0.06%","1.88%"
"東証スタンダード","71","NEW","","5199","不二ラテ","2,038.0","+58.0","+2.93%","1.86%"
"東証スタンダード","72","NEW","","6023","ダイハツインフィ","2,799.0","+61.0","+2.23%","1.86%"
"東証スタンダード","73","NEW","","7886","ヤマトモビＭｆｇ","705.0","+9.0","+1.29%","1.84%"
"東証スタンダード","74","NEW","","7228","デイトナ","3,850.0","+45.0","+1.18%","1.82%"
"東証スタンダード","75","NEW","","7264","ＭＵＲＯ","1,380.0","+25.0","+1.85%","1.81%"
