市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","6526","ソシオネクスト","2,300.0","+300.0","+15.00%","8.78%"
"東証プライム","2","↑89","91","4813","ＡＣＣＥＳＳ","418.0","+35.0","+9.14%","6.70%"
"東証プライム","3","NEW","","6925","ウシオ電","4,053.0","+383.0","+10.44%","6.02%"
"東証プライム","4","NEW","","7731","ニコン","1,858.5","+112.5","+6.44%","5.57%"
"東証プライム","5","NEW","","2737","トーメンデバ","39,950.0","+3,100.0","+8.41%","5.38%"
"東証プライム","6","NEW","","5301","東海カーボン","2,273.0","+145.5","+6.84%","5.32%"
"東証プライム","7","NEW","","6845","アズビル","1,464.5","+14.0","+0.97%","5.05%"
"東証プライム","8","NEW","","3040","ソリトンシステムズ","2,670.0","+171.0","+6.84%","5.02%"
"東証プライム","9","↑78","87","6616","トレックスセミ","1,970.0","+104.0","+5.57%","4.82%"
"東証プライム","10","↑8","18","4062","イビデン","22,405.0","+2,850.0","+14.57%","4.69%"
"東証プライム","11","NEW","","9962","ミスミＧ","3,831.0","+201.0","+5.54%","4.57%"
"東証プライム","12","NEW","","7459","メディパル","3,122.0","+215.5","+7.41%","4.55%"
"東証プライム","13","NEW","","6768","タムラ製","869.0","+47.0","+5.72%","4.49%"
"東証プライム","14","NEW","","6752","パナソニックＨＤ","4,508.0","+221.0","+5.16%","4.26%"
"東証プライム","15","↑17","32","6905","コーセル","1,463.0","+92.0","+6.71%","4.24%"
"東証プライム","16","NEW","","546A","ＭＩＲＡＩＮＩ","2,585.0","+144.0","+5.90%","4.18%"
"東証プライム","17","NEW","","9682","ＤＴＳ","1,141.0","+30.0","+2.70%","4.03%"
"東証プライム","18","NEW","","7911","ＴＯＰＰＡＮ　ＨＤ","4,921.0","+262.0","+5.62%","3.88%"
"東証プライム","19","NEW","","6702","富士通","3,993.0","+14.0","+0.35%","3.86%"
"東証プライム","20","NEW","","6237","イワキポンプ","4,080.0","+155.0","+3.95%","3.80%"
"東証プライム","21","NEW","","4053","サンアスタリスク","504.0","+19.0","+3.92%","3.77%"
"東証プライム","22","↑46","68","4461","第一工業","13,910.0","+820.0","+6.26%","3.74%"
"東証プライム","23","NEW","","6440","ＪＵＫＩ","789.0","+26.0","+3.41%","3.68%"
"東証プライム","24","NEW","","2531","宝ＨＬＤ","2,592.0","+90.0","+3.60%","3.47%"
"東証プライム","25","NEW","","2760","東エレデバ","4,505.0","+265.0","+6.25%","3.44%"
"東証プライム","26","NEW","","6958","ＣＭＫ","804.0","+39.0","+5.10%","3.36%"
"東証プライム","27","↑17","44","4968","荒川化学","2,398.0","+118.0","+5.18%","3.29%"
"東証プライム","28","NEW","","6278","ユニオンツール","14,250.0","+860.0","+6.42%","3.16%"
"東証プライム","29","NEW","","6787","メイコー","23,780.0","+1,640.0","+7.41%","3.03%"
"東証プライム","30","NEW","","4902","コニカミノルタ","661.1","+19.9","+3.10%","3.00%"
"東証プライム","31","NEW","","6988","日東電","3,513.0","+131.0","+3.87%","2.96%"
"東証プライム","32","NEW","","3903","ｇｕｍｉ","204.0","+7.0","+3.55%","2.94%"
"東証プライム","33","NEW","","7734","理計器","3,585.0","+75.0","+2.14%","2.93%"
"東証プライム","34","↓24","10","5706","三井金属","23,025.0","+230.0","+1.01%","2.91%"
"東証プライム","35","NEW","","4344","ソースネクスト","104.0","+1.0","+0.97%","2.88%"
"東証プライム","36","NEW","","6523","ＰＨＣＨＤ","1,395.0","+37.0","+2.72%","2.87%"
"東証プライム","37","NEW","","6866","日置電","10,480.0","+300.0","+2.95%","2.86%"
"東証プライム","38","NEW","","7220","武蔵精密","2,930.0","+128.0","+4.57%","2.83%"
"東証プライム","39","NEW","","3093","トレファク","1,977.0","+57.0","+2.97%","2.83%"
"東証プライム","40","NEW","","6951","日電子","7,564.0","+301.0","+4.14%","2.83%"
"東証プライム","41","NEW","","9987","スズケン","5,400.0","+132.0","+2.51%","2.78%"
"東証プライム","42","NEW","","4776","ＣＹＢＯＺＵ","3,100.0","+15.0","+0.49%","2.74%"
"東証プライム","43","↑23","66","3132","マクニカＨＤ","4,214.0","+126.0","+3.08%","2.71%"
"東証プライム","44","↑15","59","6490","ＰＩＬＬＡＲ","10,010.0","+570.0","+6.04%","2.70%"
"東証プライム","45","NEW","","3498","霞ヶ関キャピタル","7,480.0","+60.0","+0.81%","2.67%"
"東証プライム","46","NEW","","3694","オプティム","487.0","+16.0","+3.40%","2.67%"
"東証プライム","47","NEW","","8151","東陽テクニカ","1,885.0","+63.0","+3.46%","2.65%"
"東証プライム","48","NEW","","9742","アイネス","2,259.0","+108.0","+5.02%","2.61%"
"東証プライム","49","NEW","","7747","アサヒインテック","3,338.0","+63.0","+1.92%","2.61%"
"東証プライム","50","NEW","","7936","アシックス","4,110.0","+44.0","+1.08%","2.60%"
"東証プライム","51","NEW","","5142","アキレス","1,866.0","+57.0","+3.15%","2.57%"
"東証プライム","52","NEW","","277A","グロービング","1,900.0","+55.0","+2.98%","2.53%"
"東証プライム","53","NEW","","2120","ＬＩＦＵＬＬ","240.0","+8.0","+3.45%","2.50%"
"東証プライム","54","NEW","","4483","ＪＭＤＣ","3,660.0","+90.0","+2.52%","2.46%"
"東証プライム","55","NEW","","4004","レゾナックＨＤ","14,860.0","+965.0","+6.94%","2.46%"
"東証プライム","56","↓54","2","4933","Ｉｎｅ","2,409.0","+39.0","+1.65%","2.45%"
"東証プライム","57","NEW","","8159","立花エレ","4,290.0","+140.0","+3.37%","2.45%"
"東証プライム","58","NEW","","7552","ハピネット","4,190.0","+115.0","+2.82%","2.39%"
"東証プライム","59","NEW","","6104","芝浦機械","4,635.0","+95.0","+2.09%","2.37%"
"東証プライム","60","NEW","","3539","ＪＭホールディングス","1,435.0","+19.0","+1.34%","2.37%"
"東証プライム","61","NEW","","9142","ＪＲ九州","3,545.0","+84.0","+2.43%","2.34%"
"東証プライム","62","NEW","","8541","愛媛銀","3,470.0","+80.0","+2.36%","2.31%"
"東証プライム","63","NEW","","7649","スギＨＤ","1,261.5","+26.0","+2.10%","2.30%"
"東証プライム","64","↓27","37","2384","ＳＢＳＨＤ","5,320.0","+60.0","+1.14%","2.26%"
"東証プライム","65","NEW","","6798","ＳＭＫ","3,370.0","+35.0","+1.05%","2.23%"
"東証プライム","66","NEW","","9551","メタウォーター","3,165.0","+85.0","+2.76%","2.21%"
"東証プライム","67","NEW","","2685","アンドエスティＨＤ","3,170.0","+40.0","+1.28%","2.21%"
"東証プライム","68","NEW","","4684","オービック","5,057.0","-43.0","-0.84%","2.18%"
"東証プライム","69","NEW","","6701","ＮＥＣ","4,792.0","-20.0","-0.42%","2.15%"
"東証プライム","70","NEW","","3697","ＳＨＩＦＴ","885.1","+4.0","+0.45%","2.15%"
"東証プライム","71","NEW","","9044","ＮＡＮＫＡＩ","3,219.0","+42.0","+1.32%","2.14%"
"東証プライム","72","↓71","1","8798","アドバンスクリエイト","140.0","-34.0","-19.54%","2.14%"
"東証プライム","73","NEW","","6277","ホソカワミクロン","6,130.0","+150.0","+2.51%","2.12%"
"東証プライム","74","NEW","","6301","コマツ","7,209.0","+197.0","+2.81%","2.11%"
"東証プライム","75","NEW","","7966","リンテック","5,710.0","+100.0","+1.78%","2.10%"
"東証プライム","76","NEW","","3391","ツルハＨＤ","2,165.5","+4.0","+0.19%","2.10%"
"東証プライム","77","↓74","3","4047","関電化","2,400.0","+57.0","+2.43%","2.08%"
"東証プライム","78","NEW","","6632","ＪＶＣＫＷ","1,004.5","+5.6","+0.56%","2.05%"
"東証プライム","79","NEW","","2181","パーソルＨＤ","292.8","+0.9","+0.31%","2.05%"
"東証プライム","80","NEW","","6324","ハーモニック","6,350.0","+150.0","+2.42%","2.05%"
"東証プライム","81","NEW","","2461","ファンコミ","394.0","+18.0","+4.79%","2.03%"
"東証プライム","82","NEW","","7453","良品計画","3,943.0","-2.0","-0.05%","2.03%"
"東証プライム","83","NEW","","6645","オムロン","6,328.0","+160.0","+2.59%","1.99%"
"東証プライム","84","NEW","","6914","オプテックスグループ","3,270.0","+110.0","+3.48%","1.99%"
"東証プライム","85","NEW","","6417","ＳＡＮＫＹＯ","2,120.0","+49.0","+2.37%","1.98%"
"東証プライム","86","NEW","","6753","シャープ","656.4","+7.6","+1.17%","1.98%"
"東証プライム","87","NEW","","6351","鶴見製","2,636.0","+67.0","+2.61%","1.97%"
"東証プライム","88","NEW","","9304","渋沢倉","2,144.0","+38.0","+1.80%","1.96%"
"東証プライム","89","NEW","","6287","サトー","2,708.0","+53.0","+2.00%","1.96%"
"東証プライム","90","NEW","","3984","ユーザーローカル","1,586.0","+19.0","+1.21%","1.95%"
"東証プライム","91","NEW","","6638","Ｍｉｍａｋｉ","2,152.0","+60.0","+2.87%","1.95%"
"東証プライム","92","NEW","","6947","図研","5,130.0","+110.0","+2.19%","1.95%"
"東証プライム","93","NEW","","8022","ミズノ","4,105.0","+80.0","+1.99%","1.95%"
"東証プライム","94","NEW","","6861","キーエンス","77,270.0","+690.0","+0.90%","1.94%"
"東証プライム","95","NEW","","6844","新電元","3,100.0","+80.0","+2.65%","1.94%"
"東証プライム","96","NEW","","2327","ＮＳＳＯＬ","3,877.0","+120.0","+3.19%","1.93%"
"東証プライム","97","NEW","","6962","大真空","830.0","+16.0","+1.97%","1.93%"
"東証プライム","98","NEW","","8804","東建物","3,293.0","+57.0","+1.76%","1.91%"
"東証プライム","99","NEW","","5947","リンナイ","3,438.0","+61.0","+1.81%","1.86%"
"東証プライム","100","NEW","","5889","ＪＥＨ","2,318.0","+71.0","+3.16%","1.86%"
"東証スタンダード","1","NEW","","5721","エスクリプトエナジー","69.0","+15.0","+27.78%","14.49%"
"東証スタンダード","2","→","2","4440","ヴィッツ","2,750.0","+291.0","+11.83%","11.89%"
"東証スタンダード","3","↑13","16","4960","ケミプロ化成","679.0","+83.0","+13.93%","10.46%"
"東証スタンダード","4","↑40","44","9082","大和自交","2,794.0","+500.0","+21.80%","8.95%"
"東証スタンダード","5","↑44","49","3306","日製麻","791.0","+73.0","+10.17%","8.09%"
"東証スタンダード","6","NEW","","6570","共和コーポレーション","3,805.0","+305.0","+8.71%","7.88%"
"東証スタンダード","7","NEW","","6904","原田工業","749.0","+69.0","+10.15%","7.88%"
"東証スタンダード","8","NEW","","7256","河西工","515.0","+46.0","+9.81%","7.38%"
"東証スタンダード","9","↑22","31","6769","ザイン","1,269.0","+92.0","+7.82%","7.17%"
"東証スタンダード","10","NEW","","6890","フェローテック","10,300.0","+1,170.0","+12.81%","6.80%"
"東証スタンダード","11","NEW","","3374","内外テック","4,445.0","+365.0","+8.95%","6.64%"
"東証スタンダード","12","↑23","35","6840","ＡＫＩＢＡ","889.0","+79.0","+9.75%","6.64%"
"東証スタンダード","13","NEW","","7901","マツモト","817.0","+57.0","+7.50%","6.36%"
"東証スタンダード","14","NEW","","5966","京都機械工具","2,870.0","+170.0","+6.30%","5.92%"
"東証スタンダード","15","NEW","","1848","富士ピー・エス","861.0","+51.0","+6.30%","5.46%"
"東証スタンダード","16","↑54","70","7727","オーバル","948.0","+50.0","+5.57%","5.27%"
"東証スタンダード","17","NEW","","1897","金下建設","3,900.0","+200.0","+5.41%","5.13%"
"東証スタンダード","18","NEW","","7111","ＩＮＥＳＴ","549.0","+29.0","+5.58%","5.10%"
"東証スタンダード","19","NEW","","2656","ベクターＨＤ","162.0","+8.0","+5.19%","4.94%"
"東証スタンダード","20","↑31","51","4100","戸田工","1,855.0","+110.0","+6.30%","4.91%"
"東証スタンダード","21","NEW","","3512","日フエルト","1,065.0","+52.0","+5.13%","4.88%"
"東証スタンダード","22","NEW","","4935","リベルタ","144.0","+9.0","+6.67%","4.86%"
"東証スタンダード","23","NEW","","8508","Ｊトラスト","811.0","+40.0","+5.19%","4.81%"
"東証スタンダード","24","NEW","","5381","マイポックス","1,059.0","+64.0","+6.43%","4.63%"
"東証スタンダード","25","↓22","3","6862","ミナトＨＤ","5,590.0","+410.0","+7.92%","4.47%"
"東証スタンダード","26","↓5","21","6998","日タングス","4,250.0","+225.0","+5.59%","4.47%"
"東証スタンダード","27","NEW","","6928","エノモト","3,115.0","+165.0","+5.59%","4.46%"
"東証スタンダード","28","↓13","15","6668","アドテック　プラズマ","4,280.0","+120.0","+2.88%","4.44%"
"東証スタンダード","29","NEW","","3954","ＰＡＸＸＳ","3,155.0","+156.0","+5.20%","4.28%"
"東証スタンダード","30","NEW","","6626","ＳＥＭＩＴＥＣ","2,408.0","+32.0","+1.35%","4.24%"
"東証スタンダード","31","↑16","47","6837","京写","404.0","+22.0","+5.76%","4.21%"
"東証スタンダード","32","NEW","","9444","トーシンＨＤ","266.0","+5.0","+1.92%","4.14%"
"東証スタンダード","33","NEW","","6091","ウエスコＨＤ","993.0","+41.0","+4.31%","4.13%"
"東証スタンダード","34","NEW","","9476","中央経済社ＨＤ","1,044.0","+44.0","+4.40%","4.12%"
"東証スタンダード","35","NEW","","5998","アドバネクス","2,881.0","+111.0","+4.01%","3.85%"
"東証スタンダード","36","NEW","","6629","テクノホライゾン","1,040.0","+48.0","+4.84%","3.85%"
"東証スタンダード","37","NEW","","6031","ＺＥＴＡ","287.0","+10.0","+3.61%","3.83%"
"東証スタンダード","38","↓33","5","6834","精工技研","6,040.0","+190.0","+3.25%","3.81%"
"東証スタンダード","39","↓26","13","6227","ＡＩメカテック","6,610.0","+440.0","+7.13%","3.63%"
"東証スタンダード","40","NEW","","3667","ｅｎｉｓｈ","28.0","+1.0","+3.70%","3.57%"
"東証スタンダード","41","NEW","","3907","シリコンスタジオ","2,175.0","+105.0","+5.07%","3.45%"
"東証スタンダード","42","NEW","","6858","小野測器","871.0","+37.0","+4.44%","3.44%"
"東証スタンダード","43","NEW","","7435","ナ・デックス","1,342.0","+52.0","+4.03%","3.43%"
"東証スタンダード","44","NEW","","604A","ビーエイブル","1,460.0","+50.0","+3.55%","3.42%"
"東証スタンダード","45","NEW","","6466","ＴＶＥ","4,095.0","+140.0","+3.54%","3.42%"
"東証スタンダード","46","NEW","","6072","地盤ネットＨＤ","1,080.0","+21.0","+1.98%","3.33%"
"東証スタンダード","47","NEW","","3446","ＪＴＥＣＣＯＲＰ","1,583.0","+54.0","+3.53%","3.28%"
