市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","8132","シナネンＨＤ","7,180.0","+980.0","+15.81%","10.03%"
"東証プライム","2","NEW","","5801","古河電工","4,222.0","+270.0","+6.83%","9.71%"
"東証プライム","3","NEW","","3040","ソリトンシステムズ","2,299.0","+234.0","+11.33%","9.35%"
"東証プライム","4","NEW","","6525","ＫＯＫＵＳＡＩ","8,657.0","+651.0","+8.13%","8.34%"
"東証プライム","5","↑2","7","4565","ネクセラファーマ","1,002.0","+76.0","+8.21%","8.28%"
"東証プライム","6","↑8","14","5803","フジクラ","5,800.0","+220.0","+3.94%","7.14%"
"東証プライム","7","NEW","","6976","太陽誘電","10,265.0","+717.0","+7.51%","6.98%"
"東証プライム","8","NEW","","4396","システムサポートＨＤ","1,268.0","+103.0","+8.84%","6.94%"
"東証プライム","9","NEW","","5802","住友電工","2,270.0","+109.0","+5.04%","6.78%"
"東証プライム","10","NEW","","268A","リガク","2,086.0","+140.0","+7.19%","6.76%"
"東証プライム","11","NEW","","3110","日東紡","3,050.0","+235.0","+8.35%","6.13%"
"東証プライム","12","NEW","","4681","リゾートトラ","1,905.5","+154.0","+8.79%","5.98%"
"東証プライム","13","NEW","","6787","メイコー","17,970.0","+1,060.0","+6.27%","5.90%"
"東証プライム","14","NEW","","6027","弁護士ドットコム","2,650.0","+224.0","+9.23%","5.66%"
"東証プライム","15","NEW","","6507","シンフォニア","13,000.0","+440.0","+3.50%","5.38%"
"東証プライム","16","NEW","","9880","イノテック","3,560.0","-135.0","-3.65%","5.34%"
"東証プライム","17","NEW","","4461","第一工業","14,950.0","+630.0","+4.40%","5.02%"
"東証プライム","18","NEW","","4687","ＴＤＣソフト","1,009.0","+64.0","+6.77%","4.86%"
"東証プライム","19","NEW","","9024","西武ホールディングス","3,412.0","+181.0","+5.60%","4.75%"
"東証プライム","20","NEW","","6620","宮越ＨＤ","700.0","+40.0","+6.06%","4.71%"
"東証プライム","21","NEW","","7389","あいちＦＧ","1,688.0","+115.0","+7.31%","4.68%"
"東証プライム","22","↑20","42","7826","フルヤ金属","8,700.0","+140.0","+1.64%","4.60%"
"東証プライム","23","NEW","","6101","ツガミ","6,220.0","+340.0","+5.78%","4.50%"
"東証プライム","24","NEW","","2737","トーメンデバ","31,200.0","+1,830.0","+6.23%","4.49%"
"東証プライム","25","NEW","","3436","ＳＵＭＣＯ","3,647.0","+160.0","+4.59%","4.36%"
"東証プライム","26","NEW","","5344","ＭＡＲＵＷＡ","60,670.0","+1,910.0","+3.25%","4.30%"
"東証プライム","27","NEW","","4182","菱瓦斯化","4,050.0","+235.0","+6.16%","4.30%"
"東証プライム","28","NEW","","3994","マネーフォワード","5,796.0","+415.0","+7.71%","4.24%"
"東証プライム","29","↑9","38","8051","山善","1,942.0","+42.0","+2.21%","4.22%"
"東証プライム","30","↓9","21","7637","白銅","3,910.0","+275.0","+7.57%","4.22%"
"東証プライム","31","NEW","","7013","ＩＨＩ","2,896.5","+137.5","+4.98%","4.21%"
"東証プライム","32","NEW","","3371","ソフトクリエＨＤ","1,968.0","+82.0","+4.35%","4.17%"
"東証プライム","33","NEW","","6508","明電舎","11,400.0","+610.0","+5.65%","4.12%"
"東証プライム","34","NEW","","7868","広済堂ＨＤ","543.0","+19.0","+3.63%","4.05%"
"東証プライム","35","NEW","","7735","スクリン","13,745.0","+570.0","+4.33%","4.00%"
"東証プライム","36","NEW","","6088","シグマクシスＨＤ","551.0","+23.0","+4.36%","3.99%"
"東証プライム","37","NEW","","4004","レゾナックＨＤ","17,410.0","+1,075.0","+6.58%","3.88%"
"東証プライム","38","NEW","","2207","ｍｅｉｔｏ","3,530.0","+270.0","+8.28%","3.68%"
"東証プライム","39","NEW","","1379","ホクト","2,001.0","+83.0","+4.33%","3.60%"
"東証プライム","40","NEW","","6407","ＣＫＤ","6,170.0","+140.0","+2.32%","3.57%"
"東証プライム","41","↑3","44","4848","フルキャストＨＤ","1,832.0","+56.0","+3.15%","3.55%"
"東証プライム","42","NEW","","2108","甜菜糖","5,390.0","+110.0","+2.08%","3.53%"
"東証プライム","43","NEW","","6997","日ケミコン","2,956.0","+56.0","+1.93%","3.52%"
"東証プライム","44","NEW","","4323","日本システム技術","1,915.0","+91.0","+4.99%","3.50%"
"東証プライム","45","NEW","","6387","サムコ","9,200.0","+40.0","+0.44%","3.48%"
"東証プライム","46","↑18","64","1899","福田組","4,790.0","+185.0","+4.02%","3.44%"
"東証プライム","47","NEW","","6961","エンプラス","10,790.0","+190.0","+1.79%","3.43%"
"東証プライム","48","NEW","","9412","スカパーＪＳＡＴ","2,390.0","+87.0","+3.78%","3.39%"
"東証プライム","49","NEW","","6490","ＰＩＬＬＡＲ","10,350.0","+320.0","+3.19%","3.38%"
"東証プライム","50","↑28","78","6584","三桜工","806.0","+31.0","+4.00%","3.35%"
"東証プライム","51","NEW","","1980","ダイダン","2,628.0","+90.0","+3.55%","3.31%"
"東証プライム","52","NEW","","4061","デンカ","3,596.0","+176.0","+5.15%","3.31%"
"東証プライム","53","NEW","","4047","関電化","2,634.0","-152.0","-5.46%","3.26%"
"東証プライム","54","NEW","","7189","西日本ＦＨ","4,640.0","+221.0","+5.00%","3.25%"
"東証プライム","55","NEW","","8035","東エレク","58,230.0","+1,480.0","+2.61%","3.23%"
"東証プライム","56","NEW","","4568","第一三共","2,805.0","0.0","0.00%","3.23%"
"東証プライム","57","NEW","","6958","ＣＭＫ","744.0","+25.0","+3.48%","3.23%"
"東証プライム","58","NEW","","6954","ファナック","6,720.0","+213.0","+3.27%","3.20%"
"東証プライム","59","NEW","","2929","ファーマフーズ","599.0","+22.0","+3.81%","3.17%"
"東証プライム","60","NEW","","8362","福井銀","6,320.0","+300.0","+4.98%","3.16%"
"東証プライム","61","NEW","","6333","ＴＥＩＫＯＫＵ","3,235.0","+105.0","+3.35%","3.09%"
"東証プライム","62","NEW","","6498","キッツ","2,086.0","+63.0","+3.11%","3.07%"
"東証プライム","63","NEW","","9739","ＮＳＷ","2,618.0","+82.0","+3.23%","3.06%"
"東証プライム","64","NEW","","4662","フォーカスシステムズ","1,702.0","+61.0","+3.72%","3.06%"
"東証プライム","65","NEW","","4633","サカタインクス","2,694.0","+97.0","+3.74%","3.04%"
"東証プライム","66","↓54","12","6140","旭ダイヤ","1,289.0","+20.0","+1.58%","3.03%"
"東証プライム","67","NEW","","4186","東応化","9,336.0","+311.0","+3.45%","3.02%"
"東証プライム","68","NEW","","7730","マニー","1,603.0","+54.0","+3.49%","2.99%"
"東証プライム","69","NEW","","1429","日本アクア","810.0","+27.0","+3.45%","2.96%"
"東証プライム","70","NEW","","6089","ウィルグループ","1,148.0","+33.0","+2.96%","2.96%"
"東証プライム","71","NEW","","7944","ローランド","4,390.0","+140.0","+3.29%","2.96%"
"東証プライム","72","NEW","","5535","ミガロＨＤ","271.0","+6.0","+2.26%","2.95%"
"東証プライム","73","NEW","","9336","大栄環境","3,900.0","+150.0","+4.00%","2.95%"
"東証プライム","74","NEW","","3984","ユーザーローカル","1,533.0","+65.0","+4.43%","2.94%"
"東証プライム","75","NEW","","7012","川崎重","2,775.0","+81.0","+3.01%","2.92%"
"東証プライム","76","↑10","86","285A","キオクシアＨＤ","49,870.0","+1,860.0","+3.87%","2.91%"
"東証プライム","77","NEW","","8364","清水銀","2,811.0","+64.0","+2.33%","2.88%"
