市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","3778","さくらインターネット","3,100.0","+200.0","+6.90%","5.81%"
"東証プライム","2","↑13","15","8173","Ｊｏｓｈｉｎ","4,040.0","+130.0","+3.32%","4.95%"
"東証プライム","3","↑57","60","6702","富士通","3,700.0","+218.0","+6.26%","4.78%"
"東証プライム","4","NEW","","8084","ＲＹＯＤＥＮ","4,080.0","+155.0","+3.95%","4.78%"
"東証プライム","5","NEW","","7220","武蔵精密","3,065.0","+45.0","+1.49%","4.73%"
"東証プライム","6","↑5","11","3697","ＳＨＩＦＴ","950.0","+67.8","+7.69%","4.34%"
"東証プライム","7","↑40","47","3156","レスター","3,680.0","-25.0","-0.67%","3.13%"
"東証プライム","8","NEW","","4612","日ペイントＨＤ","1,208.0","+45.5","+3.91%","3.02%"
"東証プライム","9","NEW","","2212","山崎パン","3,528.0","+139.0","+4.10%","2.92%"
"東証プライム","10","NEW","","9602","東宝","1,534.0","+51.5","+3.47%","2.87%"
"東証プライム","11","NEW","","2871","ニチレイ","2,280.5","+85.0","+3.87%","2.70%"
"東証プライム","12","NEW","","9956","バローＨＤ","3,345.0","+110.0","+3.40%","2.69%"
"東証プライム","13","NEW","","3678","メディアドゥ","1,315.0","+26.0","+2.02%","2.66%"
"東証プライム","14","↑34","48","5110","住友ゴム","2,271.0","+30.5","+1.36%","2.64%"
"東証プライム","15","NEW","","7552","ハピネット","3,235.0","+100.0","+3.19%","2.63%"
"東証プライム","16","NEW","","2897","日清食ＨＤ","3,032.0","+72.5","+2.45%","2.61%"
"東証プライム","17","↑45","62","4307","ＮＲＩ","5,378.0","+182.0","+3.50%","2.60%"
"東証プライム","18","NEW","","1934","ユアテック","2,442.0","+58.0","+2.43%","2.54%"
"東証プライム","19","↑7","26","7974","任天堂","7,659.0","+228.0","+3.07%","2.49%"
"東証プライム","20","NEW","","7211","三菱自","372.0","+7.1","+1.95%","2.42%"
"東証プライム","21","↑61","82","9310","トランスシティ","1,342.0","+20.0","+1.51%","2.38%"
"東証プライム","22","NEW","","4765","ＳＢＩＧアセットＭ","588.0","+14.0","+2.44%","2.38%"
"東証プライム","23","NEW","","3038","神戸物産","2,793.0","+103.0","+3.83%","2.29%"
"東証プライム","24","NEW","","3093","トレファク","2,118.0","+42.0","+2.02%","2.22%"
"東証プライム","25","NEW","","9064","ヤマトＨＤ","2,119.0","+51.5","+2.49%","2.22%"
"東証プライム","26","↑48","74","8136","サンリオ","1,290.5","+45.0","+3.61%","2.21%"
"東証プライム","27","NEW","","5423","東製鉄","1,784.0","+42.0","+2.41%","2.19%"
"東証プライム","28","NEW","","9900","サガミＨＤ","2,055.0","+57.0","+2.85%","2.14%"
"東証プライム","29","NEW","","3191","ジョイフル本田","2,452.0","+54.0","+2.25%","2.12%"
"東証プライム","30","NEW","","4687","ＴＤＣソフト","1,093.0","+23.0","+2.15%","2.10%"
"東証プライム","31","↑49","80","9843","ニトリＨＤ","2,620.5","+104.5","+4.15%","2.08%"
"東証プライム","32","↑46","78","3762","テクマト","2,030.0","+61.0","+3.10%","2.07%"
"東証プライム","33","NEW","","2502","アサヒ","1,720.5","+46.5","+2.78%","2.06%"
"東証プライム","34","NEW","","3382","７＆ｉＨＤ","2,205.5","+71.0","+3.33%","2.06%"
"東証プライム","35","NEW","","2659","サンエー","3,265.0","+75.0","+2.35%","1.99%"
"東証プライム","36","NEW","","7269","スズキ","2,078.5","+23.5","+1.14%","1.97%"
"東証プライム","37","↑17","54","4680","ラウンドワン","1,239.5","+5.5","+0.45%","1.94%"
"東証プライム","38","NEW","","7201","日産自","337.4","+4.5","+1.35%","1.93%"
"東証プライム","39","↑50","89","3349","コスモス薬品","6,612.0","+227.0","+3.56%","1.92%"
"東証プライム","40","NEW","","5929","三和ＨＤ","3,953.0","+54.0","+1.38%","1.90%"
"東証プライム","41","NEW","","6869","シスメックス","1,635.5","+29.5","+1.84%","1.86%"
"東証プライム","42","↑4","46","6460","セガサミーＨＤ","2,750.0","+86.0","+3.23%","1.84%"
"東証プライム","43","NEW","","3151","バイタルＫＳＫ","1,689.0","+35.0","+2.12%","1.84%"
"東証プライム","44","↑56","100","6758","ソニーグループ","3,662.0","+88.0","+2.46%","1.83%"
"東証プライム","45","NEW","","2809","キユーピー","4,678.0","+155.0","+3.43%","1.82%"
"東証プライム","46","NEW","","6417","ＳＡＮＫＹＯ","1,845.5","+54.0","+3.01%","1.82%"
"東証プライム","47","NEW","","9983","ファーストリテ","79,950.0","+2,580.0","+3.33%","1.81%"
"東証プライム","48","NEW","","3397","トリドールＨＤ","4,307.0","+122.0","+2.92%","1.79%"
"東証プライム","49","NEW","","7033","ＭＳＯＬ","1,399.0","+18.0","+1.30%","1.79%"
"東証プライム","50","NEW","","7595","アルゴグラフ","1,351.0","+24.0","+1.81%","1.78%"
"東証プライム","51","NEW","","9948","アークス","3,660.0","+105.0","+2.95%","1.78%"
"東証プライム","52","NEW","","2801","キッコマン","1,672.0","+35.5","+2.17%","1.76%"
"東証プライム","53","NEW","","417A","ブルーゾーンＨＤ","1,816.0","+43.5","+2.45%","1.76%"
"東証プライム","54","NEW","","3088","マツキヨココカラ","2,589.5","+84.0","+3.35%","1.76%"
"東証プライム","55","NEW","","4290","ＰＩ","686.0","+19.0","+2.85%","1.75%"
"東証プライム","56","NEW","","2875","東洋水産","11,205.0","+260.0","+2.38%","1.74%"
"東証プライム","57","NEW","","3817","ＳＲＡＨＤ","4,690.0","+60.0","+1.30%","1.71%"
"東証プライム","58","NEW","","4613","関ペイント","2,794.0","+55.0","+2.01%","1.70%"
"東証プライム","59","↓26","33","4661","ＯＬＣ","2,904.0","+72.5","+2.56%","1.69%"
"東証プライム","60","NEW","","9861","吉野家ＨＤ","3,805.0","+98.0","+2.64%","1.68%"
"東証プライム","61","NEW","","4345","シーティーエス","894.0","+18.0","+2.05%","1.68%"
"東証プライム","62","NEW","","5411","ＪＦＥ","1,795.0","-9.0","-0.50%","1.67%"
"東証プライム","63","NEW","","3091","ブロンコＢ","2,712.0","+70.0","+2.65%","1.66%"
"東証プライム","64","NEW","","9201","ＪＡＬ","2,988.5","+54.5","+1.86%","1.62%"
"東証プライム","65","NEW","","2791","大黒天","4,650.0","+145.0","+3.22%","1.61%"
"東証プライム","66","NEW","","2222","寿スピリッツ","2,554.0","+41.0","+1.63%","1.61%"
"東証プライム","67","NEW","","7532","パンパシフィックＨＤ","923.8","+29.8","+3.33%","1.60%"
"東証プライム","68","NEW","","2533","オエノンＨＤ","502.0","+6.0","+1.21%","1.59%"
"東証プライム","69","NEW","","9045","京阪ＨＤ","3,359.0","+64.0","+1.94%","1.58%"
"東証プライム","70","NEW","","4718","早稲アカ","2,496.0","+18.0","+0.73%","1.56%"
"東証プライム","71","NEW","","9024","西武ホールディングス","3,713.0","+48.0","+1.31%","1.56%"
"東証プライム","72","NEW","","8278","フジ","2,052.0","+52.0","+2.60%","1.56%"
"東証プライム","73","NEW","","4912","ライオン","1,724.5","+35.5","+2.10%","1.54%"
"東証プライム","74","NEW","","7085","カーブスＨＤ","977.0","+30.0","+3.17%","1.54%"
"東証プライム","75","NEW","","8153","モスフード","3,910.0","+80.0","+2.09%","1.53%"
"東証プライム","76","NEW","","7261","マツダ","1,182.5","+17.5","+1.50%","1.52%"
"東証プライム","77","NEW","","9629","ピーシーエー","1,451.0","+22.0","+1.54%","1.52%"
"東証プライム","78","NEW","","9324","安田倉","2,602.0","+13.0","+0.50%","1.50%"
"東証プライム","79","NEW","","2726","パルグループＨＤ","1,479.0","+35.0","+2.42%","1.49%"
"東証プライム","80","↓73","7","7550","ゼンショーＨＤ","9,854.0","+158.0","+1.63%","1.46%"
"東証プライム","81","NEW","","8167","リテールパートナーズ","1,382.0","+33.0","+2.45%","1.45%"
"東証プライム","82","NEW","","2331","ＡＬＳＯＫ","1,197.0","+22.0","+1.87%","1.42%"
"東証プライム","83","NEW","","7949","小松ウオール","2,753.0","+54.0","+2.00%","1.42%"
"東証プライム","84","NEW","","8267","イオン","1,420.0","+42.0","+3.05%","1.41%"
"東証プライム","85","NEW","","4755","楽天グループ","832.0","+17.0","+2.09%","1.41%"
"東証プライム","86","NEW","","3371","ソフトクリエＨＤ","2,082.0","+31.0","+1.51%","1.39%"
"東証プライム","87","NEW","","4689","ＬＩＮＥヤフー","451.0","+9.8","+2.22%","1.37%"
"東証プライム","88","NEW","","7267","ホンダ","1,612.0","+29.0","+1.83%","1.36%"
"東証プライム","89","NEW","","8001","伊藤忠","1,998.5","+14.0","+0.71%","1.35%"
"東証プライム","90","NEW","","9022","ＪＲ東海","4,090.0","+67.0","+1.67%","1.34%"
"東証プライム","91","NEW","","3676","デジハＨＤ","747.0","+11.0","+1.49%","1.34%"
"東証プライム","92","NEW","","6287","サトー","2,473.0","-7.0","-0.28%","1.33%"
"東証プライム","93","NEW","","9702","アイエスビー","2,329.0","-13.0","-0.56%","1.33%"
"東証プライム","94","NEW","","2602","日清オイリオ","1,986.0","0.0","0.00%","1.31%"
"東証プライム","95","↓14","81","2742","ハローズ","3,865.0","+70.0","+1.84%","1.29%"
"東証プライム","96","NEW","","4809","パラカ","2,088.0","+25.0","+1.21%","1.29%"
"東証プライム","97","↓58","39","9766","コナミグループ","20,140.0","+660.0","+3.39%","1.29%"
"東証プライム","98","NEW","","4927","ポーラオルＨＤ","1,357.5","+20.5","+1.53%","1.29%"
"東証プライム","99","NEW","","4681","リゾートトラ","1,794.0","+30.0","+1.70%","1.28%"
"東証プライム","100","NEW","","9364","上組","5,248.0","+10.0","+0.19%","1.28%"
"東証スタンダード","1","NEW","","3054","ハイパー","276.0","+31.0","+12.65%","11.23%"
"東証スタンダード","2","NEW","","9441","ベルパーク","2,827.0","+292.0","+11.52%","10.51%"
"東証スタンダード","3","NEW","","7886","ヤマトモビＭｆｇ","750.0","+40.0","+5.63%","7.07%"
"東証スタンダード","4","NEW","","3997","トレードワークス","383.0","+19.0","+5.22%","5.22%"
"東証スタンダード","5","NEW","","8147","トミタ","1,455.0","+69.0","+4.98%","4.74%"
"東証スタンダード","6","↑79","85","3851","日本一Ｓ","970.0","+40.0","+4.30%","4.02%"
"東証スタンダード","7","↑60","67","5287","イトーヨーギョー","874.0","+38.0","+4.55%","4.00%"
"東証スタンダード","8","NEW","","3845","アイフリーク","212.0","0.0","0.00%","3.77%"
"東証スタンダード","9","NEW","","7837","アールシーコア","347.0","+19.0","+5.79%","3.75%"
"東証スタンダード","10","NEW","","7602","レダックス","171.0","+9.0","+5.56%","3.51%"
"東証スタンダード","11","↓8","3","4434","サーバーワークス","2,176.0","+106.0","+5.12%","3.49%"
"東証スタンダード","12","↑33","45","2926","篠崎屋","115.0","+3.0","+2.68%","3.48%"
"東証スタンダード","13","NEW","","9087","タカセ","1,960.0","+26.0","+1.34%","3.37%"
"東証スタンダード","14","NEW","","7477","ムラキ","1,718.0","+58.0","+3.49%","3.26%"
"東証スタンダード","15","NEW","","7939","研創","615.0","+25.0","+4.24%","3.25%"
"東証スタンダード","16","NEW","","6772","コスモス電","1,054.0","+14.0","+1.35%","3.13%"
"東証スタンダード","17","↑48","65","2673","夢みつけ隊","101.0","+5.0","+5.21%","2.97%"
"東証スタンダード","18","↓13","5","2437","シンワワイズ","680.0","0.0","0.00%","2.94%"
"東証スタンダード","19","NEW","","4762","ＸＮＥＴ","1,993.0","+73.0","+3.80%","2.91%"
"東証スタンダード","20","NEW","","3549","クスリのアオキＨＤ","3,955.0","+185.0","+4.91%","2.91%"
"東証スタンダード","21","↑42","63","3974","ＳＣＡＴ","658.0","+19.0","+2.97%","2.89%"
"東証スタンダード","22","NEW","","9073","京極運輸","1,235.0","-25.0","-1.98%","2.83%"
"東証スタンダード","23","NEW","","5449","大阪製鉄","2,785.0","+76.0","+2.81%","2.69%"
"東証スタンダード","24","↑60","84","6054","リブセンス","113.0","+2.0","+1.80%","2.65%"
"東証スタンダード","25","NEW","","3583","オーベクス","1,360.0","+36.0","+2.72%","2.57%"
"東証スタンダード","26","NEW","","6248","横田製作所","1,839.0","+86.0","+4.91%","2.56%"
"東証スタンダード","27","↑46","73","300A","ＭＩＣ","2,979.0","+33.0","+1.12%","2.55%"
"東証スタンダード","28","↑7","35","8254","さいか屋","284.0","+7.0","+2.53%","2.46%"
"東証スタンダード","29","↑26","55","9982","タキヒヨー","2,407.0","+45.0","+1.91%","2.45%"
"東証スタンダード","30","NEW","","5268","旭コンクリ","818.0","-10.0","-1.21%","2.44%"
"東証スタンダード","31","NEW","","5162","朝日ラバー","800.0","+4.0","+0.50%","2.38%"
"東証スタンダード","32","NEW","","4752","昭和システム","1,538.0","-4.0","-0.26%","2.34%"
"東証スタンダード","33","↑16","49","2763","エフティグループ","1,156.0","+1.0","+0.09%","2.25%"
"東証スタンダード","34","NEW","","1807","佐藤渡辺","1,861.0","+16.0","+0.87%","2.20%"
"東証スタンダード","35","NEW","","343A","ＩＡＣＥトラベル","1,400.0","+2.0","+0.14%","2.14%"
"東証スタンダード","36","NEW","","5958","三洋工","4,785.0","+100.0","+2.13%","2.09%"
"東証スタンダード","37","↓6","31","3791","ＩＧポート","1,015.0","+9.0","+0.89%","2.07%"
"東証スタンダード","38","NEW","","3075","銚子丸","1,747.0","+35.0","+2.04%","2.06%"
"東証スタンダード","39","NEW","","2702","マクドナルド","7,910.0","+180.0","+2.33%","2.02%"
"東証スタンダード","40","NEW","","7551","ウェッズ","743.0","+15.0","+2.06%","2.02%"
"東証スタンダード","41","NEW","","1783","ｆａｎｔａｓｉｓｔａ","50.0","0.0","0.00%","2.00%"
"東証スタンダード","42","↑30","72","6425","ユニバーサル","653.0","+4.0","+0.62%","1.99%"
"東証スタンダード","43","NEW","","2436","共同ＰＲ","610.0","+12.0","+2.01%","1.97%"
"東証スタンダード","44","NEW","","6549","ディーエムソリュ","1,163.0","+34.0","+3.01%","1.89%"
"東証スタンダード","45","NEW","","8025","ツカモト","1,305.0","+24.0","+1.87%","1.84%"
"東証スタンダード","46","NEW","","4102","丸尾カルシウム","1,470.0","+27.0","+1.87%","1.84%"
"東証スタンダード","47","NEW","","428A","サイプレスＨＤ","1,370.0","+25.0","+1.86%","1.82%"
"東証スタンダード","48","NEW","","5983","イワブチ","15,390.0","+290.0","+1.92%","1.82%"
"東証スタンダード","49","NEW","","6380","オリチエン工業","3,920.0","+20.0","+0.51%","1.79%"
"東証スタンダード","50","NEW","","5271","トーヨーアサノ","2,303.0","+13.0","+0.57%","1.78%"
"東証スタンダード","51","NEW","","3513","イチカワ","3,385.0","+5.0","+0.15%","1.77%"
"東証スタンダード","52","NEW","","3840","ＰＡＴＨ","57.0","0.0","0.00%","1.75%"
"東証スタンダード","53","NEW","","7640","トップカルチャ","175.0","+3.0","+1.74%","1.71%"
"東証スタンダード","54","↑8","62","2923","サトウ食品","8,850.0","+250.0","+2.91%","1.69%"
"東証スタンダード","55","↓17","38","7878","光・彩","1,418.0","-6.0","-0.42%","1.69%"
"東証スタンダード","56","NEW","","3985","テモナ","181.0","+3.0","+1.69%","1.66%"
"東証スタンダード","57","NEW","","4441","トビラシステムズ","1,653.0","+3.0","+0.18%","1.63%"
"東証スタンダード","58","NEW","","9816","ストライダーズ","245.0","-1.0","-0.41%","1.63%"
"東証スタンダード","59","NEW","","7678","あさくま","6,350.0","+70.0","+1.11%","1.57%"
"東証スタンダード","60","↑39","99","4247","ポバール興業","1,399.0","+22.0","+1.60%","1.57%"
"東証スタンダード","61","NEW","","4293","セプテーニＨＤ","510.0","+6.0","+1.19%","1.57%"
"東証スタンダード","62","NEW","","5906","エムケー精工","831.0","+8.0","+0.97%","1.56%"
"東証スタンダード","63","NEW","","6360","東自機","4,475.0","0.0","0.00%","1.56%"
"東証スタンダード","64","NEW","","1793","大本組","2,052.0","+7.0","+0.34%","1.56%"
"東証スタンダード","65","NEW","","4615","神東塗料","130.0","+2.0","+1.56%","1.54%"
"東証スタンダード","66","NEW","","5974","中国工","858.0","+18.0","+2.14%","1.52%"
"東証スタンダード","67","NEW","","500A","ＴＯブックス","2,929.0","0.0","0.00%","1.50%"
"東証スタンダード","68","NEW","","5571","エキサイトＨＤ","1,002.0","-14.0","-1.38%","1.50%"
