市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","6785","鈴木","3,195.0","+251.0","+8.53%","8.54%"
"東証プライム","2","NEW","","9984","ソフトバンクグループ","5,590.0","+589.0","+11.78%","7.03%"
"東証プライム","3","↑2","5","2531","宝ＨＬＤ","2,457.5","+192.5","+8.50%","6.82%"
"東証プライム","4","↓1","3","4088","エア・ウォーター","3,010.0","+169.0","+5.95%","5.61%"
"東証プライム","5","NEW","","6787","メイコー","18,670.0","+1,250.0","+7.18%","5.52%"
"東証プライム","6","NEW","","3660","アイスタイル","534.0","+26.0","+5.12%","5.24%"
"東証プライム","7","NEW","","6324","ハーモニック","5,730.0","+300.0","+5.52%","5.06%"
"東証プライム","8","NEW","","3741","セック","3,440.0","+205.0","+6.34%","4.94%"
"東証プライム","9","NEW","","285A","キオクシアＨＤ","54,460.0","+2,790.0","+5.40%","4.83%"
"東証プライム","10","↑4","14","6619","ＷＳＣＯＰＥ","169.0","+11.0","+6.96%","4.73%"
"東証プライム","11","NEW","","3673","ブロドリーフ","485.0","+26.0","+5.66%","4.54%"
"東証プライム","12","NEW","","6976","太陽誘電","9,426.0","+569.0","+6.42%","4.53%"
"東証プライム","13","NEW","","2492","インフォマート","700.0","+35.0","+5.26%","4.43%"
"東証プライム","14","NEW","","6594","ニデック","2,611.0","+141.0","+5.71%","4.37%"
"東証プライム","15","NEW","","7220","武蔵精密","2,926.0","+123.0","+4.39%","4.27%"
"東証プライム","16","NEW","","3193","エターナルホスピＧ","1,464.0","+48.0","+3.39%","4.23%"
"東証プライム","17","NEW","","5801","古河電工","3,844.0","+231.0","+6.39%","4.19%"
"東証プライム","18","NEW","","6961","エンプラス","9,780.0","+260.0","+2.73%","4.09%"
"東証プライム","19","NEW","","6590","芝浦","3,950.0","+135.0","+3.54%","4.05%"
"東証プライム","20","NEW","","3903","ｇｕｍｉ","281.0","+13.0","+4.85%","3.91%"
"東証プライム","21","NEW","","7581","サイゼリヤ","7,160.0","+250.0","+3.62%","3.91%"
"東証プライム","22","NEW","","5344","ＭＡＲＵＷＡ","53,510.0","+2,990.0","+5.92%","3.89%"
"東証プライム","23","NEW","","3498","霞ヶ関キャピタル","7,480.0","+360.0","+5.06%","3.88%"
"東証プライム","24","NEW","","6266","タツモ","3,485.0","+165.0","+4.97%","3.87%"
"東証プライム","25","NEW","","4064","カーバイド","3,515.0","+160.0","+4.77%","3.84%"
"東証プライム","26","NEW","","4968","荒川化学","2,139.0","+92.0","+4.49%","3.83%"
"東証プライム","27","NEW","","4027","テイカ","2,458.0","+94.0","+3.98%","3.78%"
"東証プライム","28","NEW","","4483","ＪＭＤＣ","3,575.0","+175.0","+5.15%","3.78%"
"東証プライム","29","NEW","","4784","ＧＭＯインターネット","566.0","+30.0","+5.60%","3.71%"
"東証プライム","30","NEW","","3649","ファインデックス","850.0","+32.0","+3.91%","3.65%"
