市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","→","1","3276","ＪＰＭＣ","1,587.0","+168.0","+11.84%","10.40%"
"東証プライム","2","→","2","6194","アトラエ","805.0","+90.0","+12.59%","10.06%"
"東証プライム","3","→","3","268A","リガク","2,456.0","+243.0","+10.98%","8.18%"
"東証プライム","4","→","4","3436","ＳＵＭＣＯ","5,244.0","+700.0","+15.40%","8.01%"
"東証プライム","5","→","5","7600","ＭＤＭ","944.0","+70.0","+8.01%","7.42%"
"東証プライム","6","→","6","6278","ユニオンツール","20,970.0","+1,790.0","+9.33%","6.10%"
"東証プライム","7","→","7","9984","ソフトバンクグループ","6,370.0","+613.0","+10.65%","5.48%"
"東証プライム","8","→","8","6590","芝浦","5,790.0","+490.0","+9.25%","5.01%"
"東証プライム","9","→","9","5707","東邦鉛","831.0","+49.0","+6.27%","4.69%"
"東証プライム","10","→","10","6779","日電波","3,345.0","+210.0","+6.70%","4.48%"
"東証プライム","11","→","11","4784","ＧＭＯインターネット","514.0","+23.0","+4.68%","4.47%"
"東証プライム","12","→","12","6387","サムコ","12,980.0","+1,150.0","+9.72%","4.39%"
"東証プライム","13","→","13","7826","フルヤ金属","7,390.0","+520.0","+7.57%","4.33%"
"東証プライム","14","→","14","6103","オークマ","5,080.0","+265.0","+5.50%","3.84%"
"東証プライム","15","→","15","3649","ファインデックス","902.0","+47.0","+5.50%","3.77%"
"東証プライム","16","→","16","6407","ＣＫＤ","7,230.0","+370.0","+5.39%","3.73%"
"東証プライム","17","→","17","3903","ｇｕｍｉ","242.0","+7.0","+2.98%","3.72%"
"東証プライム","18","→","18","6104","芝浦機械","4,770.0","+195.0","+4.26%","3.67%"
"東証プライム","19","→","19","2130","メンバーズ","1,129.0","+40.0","+3.67%","3.63%"
"東証プライム","20","→","20","3778","さくらインターネット","2,876.0","+123.0","+4.47%","3.51%"
"東証プライム","21","→","21","6951","日電子","7,874.0","+565.0","+7.73%","3.49%"
"東証プライム","22","→","22","3687","フィックスターズ","2,329.0","+128.0","+5.82%","3.35%"
"東証プライム","23","→","23","7095","ＭａｃｂｅｅＰ","1,149.0","+39.0","+3.51%","3.31%"
"東証プライム","24","→","24","3315","日本コークス","93.0","+3.0","+3.33%","3.23%"
