市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑68","69","6440","ＪＵＫＩ","640.0","+100.0","+18.52%","14.38%"
"東証プライム","2","NEW","","7272","ヤマハ発","1,511.0","+178.5","+13.40%","11.28%"
"東証プライム","3","↑93","96","3110","日東紡","3,170.0","+395.0","+14.23%","10.88%"
"東証プライム","4","↑64","68","2737","トーメンデバ","31,150.0","+5,000.0","+19.12%","9.66%"
"東証プライム","5","→","5","5801","古河電工","3,566.0","+366.0","+11.44%","8.86%"
"東証プライム","6","NEW","","6302","住友重","5,720.0","+433.0","+8.19%","8.23%"
"東証プライム","7","↑20","27","7609","ダイトロン","4,150.0","+570.0","+15.92%","7.95%"
"東証プライム","8","↑3","11","4022","ラサ工","2,035.0","+142.0","+7.50%","7.71%"
"東証プライム","9","↑38","47","6387","サムコ","9,350.0","+830.0","+9.74%","7.70%"
"東証プライム","10","↑34","44","4228","積水化成","588.0","+42.0","+7.69%","7.65%"
"東証プライム","11","NEW","","7011","三菱重","4,091.0","+292.0","+7.69%","7.60%"
"東証プライム","12","NEW","","6143","ソディック","1,793.0","+129.0","+7.75%","7.03%"
"東証プライム","13","NEW","","8344","山形銀","3,900.0","+120.0","+3.17%","6.67%"
"東証プライム","14","NEW","","5074","テスホールディングス","728.0","+50.0","+7.37%","6.59%"
"東証プライム","15","↑17","32","5803","フジクラ","4,628.0","+338.0","+7.88%","6.57%"
"東証プライム","16","NEW","","4206","アイカ工","3,904.0","+255.0","+6.99%","6.51%"
"東証プライム","17","↑54","71","6742","京三製","950.0","+45.0","+4.97%","6.32%"
"東証プライム","18","NEW","","4968","荒川化学","1,937.0","+120.0","+6.60%","6.30%"
"東証プライム","19","NEW","","6407","ＣＫＤ","6,330.0","+460.0","+7.84%","6.16%"
"東証プライム","20","NEW","","6254","野村マイクロ","4,210.0","+240.0","+6.05%","6.06%"
"東証プライム","21","NEW","","4099","四国化成ＨＤ","2,880.0","+146.0","+5.34%","5.90%"
"東証プライム","22","↓18","4","6920","レーザーテック","44,100.0","+3,190.0","+7.80%","5.85%"
"東証プライム","23","NEW","","6323","ローツェ","4,292.0","+317.0","+7.97%","5.75%"
"東証プライム","24","NEW","","8061","西華産","2,846.0","+162.0","+6.04%","5.69%"
"東証プライム","25","NEW","","5384","ＦＵＪＩＭＩ","4,100.0","+275.0","+7.19%","5.61%"
"東証プライム","26","NEW","","3778","さくらインターネット","3,360.0","+255.0","+8.21%","5.51%"
"東証プライム","27","↓11","16","6490","ＰＩＬＬＡＲ","10,550.0","+590.0","+5.92%","5.50%"
"東証プライム","28","NEW","","6866","日置電","12,220.0","+850.0","+7.48%","5.48%"
"東証プライム","29","NEW","","7745","Ａ＆ＤホロンＨＤ","3,235.0","+185.0","+6.07%","5.41%"
"東証プライム","30","NEW","","6741","日信号","1,706.0","+98.0","+6.09%","5.33%"
"東証プライム","31","↑2","33","6464","ツバキ・ナカシマ","395.0","+25.0","+6.76%","5.32%"
"東証プライム","32","NEW","","7510","たけびし","2,872.0","+119.0","+4.32%","5.29%"
"東証プライム","33","NEW","","7729","東精密","18,060.0","+825.0","+4.79%","5.20%"
"東証プライム","34","NEW","","5214","日電硝","4,635.0","+241.0","+5.48%","5.18%"
"東証プライム","35","NEW","","8150","三信電気","3,075.0","+142.0","+4.84%","5.17%"
"東証プライム","36","NEW","","5981","東製綱","2,050.0","+103.0","+5.29%","5.12%"
"東証プライム","37","NEW","","8137","サンワテクノス","3,920.0","+250.0","+6.81%","5.10%"
"東証プライム","38","NEW","","6103","オークマ","5,140.0","+250.0","+5.11%","5.06%"
"東証プライム","39","NEW","","6330","洋エンジ","1,998.0","+101.0","+5.32%","5.06%"
"東証プライム","40","↑40","80","8159","立花エレ","3,795.0","+210.0","+5.86%","5.01%"
"東証プライム","41","↑41","82","5707","東邦鉛","905.0","+39.0","+4.50%","4.97%"
"東証プライム","42","↓19","23","6324","ハーモニック","6,840.0","+510.0","+8.06%","4.97%"
"東証プライム","43","NEW","","5805","ＳＷＣＣ","11,920.0","+720.0","+6.43%","4.95%"
"東証プライム","44","NEW","","6376","日機装","3,975.0","+195.0","+5.16%","4.91%"
"東証プライム","45","NEW","","7725","インターアクション","1,773.0","+83.0","+4.91%","4.85%"
"東証プライム","46","NEW","","6277","ホソカワミクロン","5,200.0","+190.0","+3.79%","4.81%"
