市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑96","97","9766","コナミグループ","22,705.0","+2,565.0","+12.74%","8.39%"
"東証プライム","2","NEW","","9697","カプコン","4,229.0","+700.0","+19.84%","8.28%"
"東証プライム","3","NEW","","6301","コマツ","7,265.0","+515.0","+7.63%","7.63%"
"東証プライム","4","NEW","","2767","円谷フィールズＨＤ","2,330.0","+400.0","+20.73%","6.01%"
"東証プライム","5","NEW","","9684","スクエニＨＤ","2,923.5","+222.5","+8.24%","5.90%"
"東証プライム","6","NEW","","9932","杉本商事","1,358.0","+84.0","+6.59%","5.89%"
"東証プライム","7","NEW","","7276","小糸製","2,697.5","+172.5","+6.83%","5.73%"
"東証プライム","8","NEW","","8132","シナネンＨＤ","6,900.0","+380.0","+5.83%","5.36%"
"東証プライム","9","NEW","","2607","不二製油","4,174.0","+190.0","+4.77%","5.29%"
"東証プライム","10","↑38","48","3397","トリドールＨＤ","4,584.0","+277.0","+6.43%","5.04%"
"東証プライム","11","NEW","","543A","ＡＲＣＨＩＯＮ","280.0","-10.0","-3.45%","5.00%"
"東証プライム","12","NEW","","4523","エーザイ","5,110.0","+319.0","+6.66%","4.87%"
"東証プライム","13","NEW","","9605","東映","6,400.0","+410.0","+6.84%","4.84%"
"東証プライム","14","NEW","","7616","コロワイド","2,143.5","+121.5","+6.01%","4.83%"
"東証プライム","15","↑24","39","3349","コスモス薬品","7,004.0","+392.0","+5.93%","4.83%"
"東証プライム","16","NEW","","3635","コーエーテクモ","1,649.0","+119.0","+7.78%","4.79%"
"東証プライム","17","NEW","","4527","ロート薬","2,524.5","+145.0","+6.09%","4.73%"
"東証プライム","18","NEW","","8708","アイザワ証Ｇ","1,679.0","+79.0","+4.94%","4.71%"
"東証プライム","19","NEW","","2674","ハードオフ","3,085.0","+166.0","+5.69%","4.70%"
"東証プライム","20","NEW","","9627","アインＨＤ","6,304.0","+291.0","+4.84%","4.68%"
"東証プライム","21","↑7","28","9900","サガミＨＤ","2,161.0","+106.0","+5.16%","4.63%"
"東証プライム","22","NEW","","4776","ＣＹＢＯＺＵ","2,831.0","+172.0","+6.47%","4.63%"
"東証プライム","23","↑19","42","6460","セガサミーＨＤ","2,921.5","+171.5","+6.24%","4.59%"
"東証プライム","24","↑2","26","8136","サンリオ","1,343.0","+52.5","+4.07%","4.58%"
"東証プライム","25","NEW","","9740","ＣＳＰ","2,917.0","+141.0","+5.08%","4.56%"
"東証プライム","26","↑12","38","7201","日産自","358.2","+20.8","+6.16%","4.52%"
"東証プライム","27","NEW","","8163","ＳＲＳＨＤ","1,440.0","+92.0","+6.82%","4.51%"
"東証プライム","28","NEW","","8892","エスコン","1,115.0","-3.0","-0.27%","4.48%"
"東証プライム","29","NEW","","4733","ＯＢＣ","8,426.0","+425.0","+5.31%","4.45%"
"東証プライム","30","NEW","","4301","アミューズ","2,028.0","+81.0","+4.16%","4.44%"
"東証プライム","31","NEW","","3197","すかいらーくＨＤ","3,333.0","+173.0","+5.47%","4.41%"
"東証プライム","32","NEW","","4180","Ａｐｐｉｅｒ","978.0","+68.0","+7.47%","4.40%"
"東証プライム","33","NEW","","7157","ライフネット生命","1,689.0","+85.0","+5.30%","4.38%"
"東証プライム","34","NEW","","7203","トヨタ自","3,224.0","+216.0","+7.18%","4.31%"
"東証プライム","35","NEW","","7956","ピジョン","2,102.5","+100.0","+4.99%","4.30%"
"東証プライム","36","NEW","","5108","ブリヂス","4,120.0","+242.0","+6.24%","4.30%"
"東証プライム","37","NEW","","4092","日本化","5,380.0","+330.0","+6.53%","4.28%"
"東証プライム","38","NEW","","7309","シマノ","21,065.0","+1,980.0","+10.37%","4.23%"
"東証プライム","39","NEW","","8179","ロイヤルＨＤ","1,373.0","+65.0","+4.97%","4.22%"
"東証プライム","40","NEW","","4911","資生堂","3,481.0","+228.0","+7.01%","4.22%"
"東証プライム","41","NEW","","2433","博報堂ＤＹ","1,392.5","+77.5","+5.89%","4.20%"
"東証プライム","42","NEW","","1878","大東建","3,601.0","+201.0","+5.91%","4.19%"
"東証プライム","43","NEW","","2170","ＬＩＮＫ＆Ｍ","644.0","+32.0","+5.23%","4.19%"
"東証プライム","44","NEW","","6701","ＮＥＣ","4,613.0","+123.0","+2.74%","4.18%"
"東証プライム","45","NEW","","3788","ＧＭＯＧＳＨＤ","2,275.0","+98.0","+4.50%","4.18%"
"東証プライム","46","NEW","","7270","ＳＵＢＡＲＵ","2,848.5","+168.5","+6.29%","4.16%"
"東証プライム","47","NEW","","9889","ＪＢＣＣ　ＨＤ","1,679.0","+105.0","+6.67%","4.11%"
"東証プライム","48","NEW","","4684","オービック","4,752.0","+185.0","+4.05%","4.10%"
"東証プライム","49","NEW","","7581","サイゼリヤ","8,310.0","+480.0","+6.13%","4.09%"
"東証プライム","50","↑10","60","9861","吉野家ＨＤ","4,040.0","+235.0","+6.18%","4.08%"
"東証プライム","51","↑16","67","7532","パンパシフィックＨＤ","964.6","+40.8","+4.42%","4.02%"
"東証プライム","52","↓37","15","7552","ハピネット","3,380.0","+145.0","+4.48%","3.99%"
"東証プライム","53","NEW","","6902","デンソー","2,208.0","+128.5","+6.18%","3.99%"
"東証プライム","54","↑41","95","2742","ハローズ","4,020.0","+155.0","+4.01%","3.98%"
"東証プライム","55","NEW","","4507","塩野義薬","3,070.0","+167.5","+5.77%","3.97%"
"東証プライム","56","↑7","63","3091","ブロンコＢ","2,852.0","+140.0","+5.16%","3.93%"
"東証プライム","57","NEW","","3064","ＭＲＯ","2,081.5","+104.5","+5.29%","3.92%"
"東証プライム","58","↓48","10","9602","東宝","1,598.5","+64.5","+4.20%","3.91%"
"東証プライム","59","NEW","","6191","エアトリ","908.0","+48.0","+5.58%","3.85%"
"東証プライム","60","NEW","","9267","ゲンキードラッグ","4,155.0","+140.0","+3.49%","3.85%"
"東証プライム","61","NEW","","6088","シグマクシスＨＤ","624.0","+32.0","+5.41%","3.85%"
"東証プライム","62","↓40","22","4765","ＳＢＩＧアセットＭ","608.0","+20.0","+3.40%","3.78%"
"東証プライム","63","↓43","20","7211","三菱自","391.8","+19.8","+5.32%","3.78%"
"東証プライム","64","↑6","70","4718","早稲アカ","2,602.0","+106.0","+4.25%","3.77%"
"東証プライム","65","NEW","","4324","電通グループ","3,874.0","+252.0","+6.96%","3.72%"
"東証プライム","66","NEW","","7952","河合楽器","3,365.0","+165.0","+5.16%","3.71%"
"東証プライム","67","NEW","","3963","シンクロ・フード","350.0","+13.0","+3.86%","3.71%"
"東証プライム","68","NEW","","3097","物語コーポ","5,400.0","+210.0","+4.05%","3.70%"
"東証プライム","69","NEW","","7421","カッパ・クリエイト","1,651.0","+76.0","+4.83%","3.69%"
