市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","4392","ＦＩＧ","1,050.0","+150.0","+16.67%","13.24%"
"東証プライム","2","NEW","","3993","ＰＫＳＨＡ","3,170.0","+219.0","+7.42%","12.11%"
"東証プライム","3","NEW","","6376","日機装","4,385.0","+510.0","+13.16%","10.60%"
"東証プライム","4","NEW","","3788","ＧＭＯＧＳＨＤ","2,335.0","-9.0","-0.38%","10.32%"
"東証プライム","5","NEW","","7936","アシックス","5,281.0","+515.0","+10.81%","9.16%"
"東証プライム","6","NEW","","3156","レスター","5,510.0","+460.0","+9.11%","8.35%"
"東証プライム","7","↑91","98","3994","マネーフォワード","6,479.0","+605.0","+10.30%","7.55%"
"東証プライム","8","↓3","5","2120","ＬＩＦＵＬＬ","243.0","+21.0","+9.46%","7.41%"
"東証プライム","9","NEW","","6058","ベクトル","1,849.0","+121.0","+7.00%","7.14%"
"東証プライム","10","↓9","1","6340","渋谷工","5,400.0","+290.0","+5.68%","7.04%"
"東証プライム","11","NEW","","9319","中央倉庫","1,890.0","+112.0","+6.30%","7.04%"
"東証プライム","12","NEW","","9658","ビジ太田昭和","1,084.0","+16.0","+1.50%","7.01%"
"東証プライム","13","NEW","","8281","ゼビオＨＤ","1,218.0","+72.0","+6.28%","6.98%"
"東証プライム","14","↓12","2","6027","弁護士ドットコム","3,750.0","+600.0","+19.05%","6.67%"
"東証プライム","15","↑39","54","7715","長野計器","4,420.0","+305.0","+7.41%","6.45%"
"東証プライム","16","↑61","77","4390","ｉｐｓ","4,045.0","+305.0","+8.16%","6.43%"
"東証プライム","17","NEW","","7389","あいちＦＧ","1,868.0","+118.0","+6.74%","6.32%"
"東証プライム","18","NEW","","4022","ラサ工","2,370.0","+199.0","+9.17%","6.29%"
"東証プライム","19","NEW","","2492","インフォマート","614.0","+32.0","+5.50%","6.19%"
"東証プライム","20","NEW","","590A","ギフティグループ","1,188.0","+70.0","+6.26%","5.98%"
"東証プライム","21","NEW","","2413","エムスリー","1,697.5","+82.5","+5.11%","5.95%"
"東証プライム","22","NEW","","3968","セグエ","648.0","+58.0","+9.83%","5.86%"
"東証プライム","23","NEW","","3034","クオールＨＤ","2,638.0","+168.0","+6.80%","5.80%"
"東証プライム","24","NEW","","4776","ＣＹＢＯＺＵ","2,945.0","+165.0","+5.94%","5.74%"
"東証プライム","25","NEW","","3694","オプティム","442.0","+25.0","+6.00%","5.66%"
"東証プライム","26","NEW","","3697","ＳＨＩＦＴ","956.1","+67.3","+7.57%","5.50%"
"東証プライム","27","↑49","76","8065","佐藤商","3,925.0","+200.0","+5.37%","5.48%"
"東証プライム","28","↑2","30","3778","さくらインターネット","3,870.0","+185.0","+5.02%","5.43%"
"東証プライム","29","NEW","","4323","日本システム技術","1,991.0","+32.0","+1.63%","5.17%"
"東証プライム","30","NEW","","5715","古河機金","4,215.0","+185.0","+4.59%","5.10%"
"東証プライム","31","NEW","","3854","アイル","2,439.0","+124.0","+5.36%","5.08%"
"東証プライム","32","↓15","17","8132","シナネンＨＤ","7,920.0","+250.0","+3.26%","5.05%"
"東証プライム","33","NEW","","6794","フォスター電","3,075.0","+105.0","+3.54%","5.04%"
"東証プライム","34","NEW","","8136","サンリオ","1,282.5","+55.5","+4.52%","5.03%"
"東証プライム","35","↓29","6","2124","ＪＡＣ","1,045.0","+28.0","+2.75%","4.98%"
"東証プライム","36","NEW","","9278","ブックオフＧＨＤ","2,926.0","+107.0","+3.80%","4.96%"
"東証プライム","37","NEW","","4902","コニカミノルタ","690.9","+27.4","+4.13%","4.94%"
"東証プライム","38","NEW","","7504","高速","4,870.0","+205.0","+4.39%","4.93%"
"東証プライム","39","↑10","49","3176","三洋貿易","1,170.0","+45.0","+4.00%","4.87%"
"東証プライム","40","NEW","","544A","ＧＭＳグループ","349.0","+17.0","+5.12%","4.87%"
"東証プライム","41","NEW","","6298","ワイエイシイＨＤ","1,318.0","+34.0","+2.65%","4.86%"
"東証プライム","42","NEW","","7522","ワタミ","1,000.0","+42.0","+4.38%","4.80%"
"東証プライム","43","NEW","","4443","Ｓａｎｓａｎ","2,106.0","+118.0","+5.94%","4.80%"
"東証プライム","44","↑16","60","3040","ソリトンシステムズ","2,563.0","+119.0","+4.87%","4.72%"
"東証プライム","45","NEW","","8154","加賀電子","5,100.0","-30.0","-0.58%","4.71%"
"東証プライム","46","NEW","","2266","六甲バター","1,075.0","-5.0","-0.46%","4.65%"
"東証プライム","47","NEW","","3925","ダブルスタンダード","1,333.0","+76.0","+6.05%","4.65%"
"東証プライム","48","NEW","","6572","オープンＧ","258.0","+9.0","+3.61%","4.65%"
"東証プライム","49","NEW","","2681","ゲオＨＤ","2,349.0","+60.0","+2.62%","4.60%"
"東証プライム","50","NEW","","9702","アイエスビー","2,568.0","+105.0","+4.26%","4.56%"
"東証プライム","51","↓25","26","8364","清水銀","3,075.0","+136.0","+4.63%","4.42%"
"東証プライム","52","NEW","","7609","ダイトロン","4,770.0","+185.0","+4.03%","4.40%"
"東証プライム","53","NEW","","3036","アルコニックス","3,755.0","+160.0","+4.45%","4.39%"
"東証プライム","54","NEW","","9424","日本通信","115.0","+6.0","+5.50%","4.35%"
"東証プライム","55","NEW","","3984","ユーザーローカル","1,594.0","+74.0","+4.87%","4.33%"
"東証プライム","56","NEW","","9468","ＫＡＤＯＫＡＷＡ","3,521.0","-58.0","-1.62%","4.32%"
"東証プライム","57","NEW","","1515","日鉄鉱","3,365.0","+110.0","+3.38%","4.31%"
"東証プライム","58","NEW","","4071","プラスアルファ","2,224.0","+111.0","+5.25%","4.23%"
"東証プライム","59","NEW","","5902","ホッカンＨＤ","2,585.0","+74.0","+2.95%","4.22%"
"東証プライム","60","NEW","","9928","ミロク情報","1,923.0","+74.0","+4.00%","4.21%"
"東証プライム","61","NEW","","2307","クロスキャット","1,082.0","+41.0","+3.94%","4.16%"
"東証プライム","62","NEW","","7033","ＭＳＯＬ","1,520.0","+64.0","+4.40%","4.14%"
"東証プライム","63","NEW","","9740","ＣＳＰ","2,776.0","+71.0","+2.62%","4.14%"
"東証プライム","64","NEW","","6758","ソニーグループ","3,912.0","+212.0","+5.73%","4.14%"
"東証プライム","65","NEW","","9621","建設技研","3,160.0","-100.0","-3.07%","4.11%"
"東証プライム","66","NEW","","3923","ラクス","1,175.0","+81.0","+7.40%","4.09%"
"東証プライム","67","NEW","","4662","フォーカスシステムズ","1,741.0","+48.0","+2.84%","4.08%"
"東証プライム","68","NEW","","6763","帝通工","2,969.0","+92.0","+3.20%","4.08%"
"東証プライム","69","NEW","","5563","新日本電工","443.0","+19.0","+4.48%","4.06%"
"東証プライム","70","NEW","","9310","トランスシティ","1,435.0","+57.0","+4.14%","3.97%"
"東証プライム","71","NEW","","4849","エン","1,495.0","+64.0","+4.47%","3.95%"
"東証プライム","72","↑28","100","8399","琉球銀","3,295.0","+100.0","+3.13%","3.95%"
"東証プライム","73","NEW","","2585","ライフドリンクＣ","1,787.0","+300.0","+20.17%","3.92%"
"東証プライム","74","NEW","","6457","グローリー","4,925.0","+173.0","+3.64%","3.90%"
"東証プライム","75","NEW","","7552","ハピネット","3,480.0","+205.0","+6.26%","3.88%"
"東証プライム","76","NEW","","3315","日本コークス","104.0","+3.0","+2.97%","3.85%"
"東証プライム","77","NEW","","3901","マークラインズ","1,615.0","+62.0","+3.99%","3.84%"
"東証プライム","78","NEW","","4112","保土谷化","2,328.0","+59.0","+2.60%","3.82%"
"東証プライム","79","↓43","36","6798","ＳＭＫ","3,545.0","+100.0","+2.90%","3.81%"
"東証プライム","80","NEW","","3763","プロシップ","2,022.0","+95.0","+4.93%","3.81%"
"東証プライム","81","NEW","","4480","メドレー","2,677.0","+500.0","+22.97%","3.74%"
"東証プライム","82","↓49","33","3673","ブロドリーフ","431.0","+11.0","+2.62%","3.71%"
"東証プライム","83","NEW","","4680","ラウンドワン","1,339.5","+31.0","+2.37%","3.62%"
"東証プライム","84","NEW","","5011","ニチレキＧ","2,354.0","+80.0","+3.52%","3.57%"
"東証プライム","85","NEW","","6247","日阪製作","1,800.0","+57.0","+3.27%","3.50%"
"東証プライム","86","NEW","","4318","クイック","832.0","+23.0","+2.84%","3.49%"
"東証プライム","87","NEW","","6638","Ｍｉｍａｋｉ","2,002.0","+69.0","+3.57%","3.45%"
"東証プライム","88","NEW","","3371","ソフトクリエＨＤ","2,059.0","+86.0","+4.36%","3.40%"
"東証プライム","89","NEW","","3180","ビューティガレージ","1,530.0","+45.0","+3.03%","3.40%"
"東証プライム","90","NEW","","2222","寿スピリッツ","2,746.0","+58.5","+2.18%","3.39%"
"東証プライム","91","NEW","","6445","ジャノメ","1,447.0","+49.0","+3.51%","3.39%"
"東証プライム","92","NEW","","7974","任天堂","8,900.0","+575.0","+6.91%","3.37%"
"東証プライム","93","NEW","","4709","ＩＤホールディングス","1,080.0","+36.0","+3.45%","3.33%"
"東証プライム","94","NEW","","6630","ヤーマン","784.0","+18.0","+2.35%","3.32%"
"東証プライム","95","NEW","","5076","インフロニアＨＤ","2,838.0","+94.0","+3.43%","3.31%"
"東証プライム","96","↓87","9","8338","筑波銀行","755.0","+31.0","+4.28%","3.31%"
"東証プライム","97","NEW","","7294","ヨロズ","938.0","+31.0","+3.42%","3.30%"
"東証プライム","98","NEW","","6849","日本光電","1,483.5","+25.0","+1.71%","3.30%"
"東証プライム","99","NEW","","5851","リョービ","2,874.0","+94.0","+3.38%","3.27%"
"東証プライム","100","NEW","","6258","平田機工","3,825.0","+185.0","+5.08%","3.27%"
"東証スタンダード","1","NEW","","8995","誠建設","1,580.0","+300.0","+23.44%","24.68%"
"東証スタンダード","2","NEW","","7815","東京ボード工業","387.0","+80.0","+26.06%","19.90%"
"東証スタンダード","3","NEW","","7727","オーバル","925.0","+104.0","+12.67%","11.14%"
"東証スタンダード","4","↑10","14","3810","サイバーステップＨＤ","212.0","+22.0","+11.58%","10.85%"
"東証スタンダード","5","NEW","","2437","シンワワイズ","638.0","+57.0","+9.81%","10.03%"
"東証スタンダード","6","↓5","1","3103","ユニチカ","1,594.0","+244.0","+18.07%","9.66%"
"東証スタンダード","7","NEW","","3907","シリコンスタジオ","1,595.0","+123.0","+8.36%","9.59%"
"東証スタンダード","8","NEW","","8918","ランド","11.0","+1.0","+10.00%","9.09%"
"東証スタンダード","9","NEW","","8508","Ｊトラスト","895.0","+86.0","+10.63%","8.27%"
"東証スタンダード","10","NEW","","3944","古林紙工","3,180.0","+200.0","+6.71%","7.86%"
"東証スタンダード","11","NEW","","4420","イーソル","737.0","+52.0","+7.59%","7.73%"
