市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","↑1","2","4392","ＦＩＧ","1,403.0","+78.0","+5.89%","9.84%"
"東証プライム","2","NEW","","2170","ＬＩＮＫ＆Ｍ","687.0","+64.0","+10.27%","7.86%"
"東証プライム","3","↑2","5","6027","弁護士ドットコム","4,420.0","+680.0","+18.18%","7.47%"
"東証プライム","4","↑47","51","6464","ツバキ・ナカシマ","360.0","+15.0","+4.35%","6.39%"
"東証プライム","5","NEW","","9722","藤田観","2,441.0","+129.0","+5.58%","5.28%"
"東証プライム","6","NEW","","7034","プロレドパートナーズ","387.0","+12.0","+3.20%","5.17%"
"東証プライム","7","NEW","","8050","セイコーＧ","11,200.0","+440.0","+4.09%","4.91%"
"東証プライム","8","NEW","","8237","松屋","2,122.0","+137.0","+6.90%","4.76%"
"東証プライム","9","NEW","","4565","ネクセラファーマ","1,167.0","+56.0","+5.04%","4.71%"
"東証プライム","10","NEW","","6036","ＫｅｅＰｅｒ技研","3,145.0","+120.0","+3.97%","4.29%"
"東証プライム","11","NEW","","5535","ミガロＨＤ","283.0","+11.0","+4.04%","3.89%"
"東証プライム","12","NEW","","7729","東精密","17,630.0","-950.0","-5.11%","3.69%"
"東証プライム","13","NEW","","3993","ＰＫＳＨＡ","3,015.0","+91.0","+3.11%","3.42%"
"東証プライム","14","NEW","","8622","水戸証","886.0","+19.0","+2.19%","2.93%"
"東証プライム","15","NEW","","4385","メルカリ","4,750.0","+277.0","+6.19%","2.88%"
"東証プライム","16","NEW","","7575","日本ライフライン","1,546.0","+39.0","+2.59%","2.85%"
"東証プライム","17","NEW","","3496","アズーム","4,915.0","+185.0","+3.91%","2.75%"
"東証プライム","18","NEW","","8614","東洋証","699.0","+17.0","+2.49%","2.72%"
"東証プライム","19","NEW","","8624","いちよし","1,675.0","+43.0","+2.63%","2.57%"
"東証プライム","20","NEW","","6986","双葉電子","677.0","+7.0","+1.04%","2.51%"
"東証プライム","21","NEW","","6407","ＣＫＤ","5,610.0","-250.0","-4.27%","2.50%"
"東証プライム","22","NEW","","8707","岩井コスモ","4,420.0","+75.0","+1.73%","2.49%"
"東証プライム","23","NEW","","5563","新日本電工","445.0","+7.0","+1.60%","2.47%"
"東証プライム","24","NEW","","5713","住友鉱","9,597.0","-296.0","-2.99%","2.47%"
"東証プライム","25","NEW","","4828","ビーエンジ","1,419.0","+42.0","+3.05%","2.47%"
"東証プライム","26","NEW","","4819","デジタルガレージ","2,311.0","+74.0","+3.31%","2.47%"
"東証プライム","27","NEW","","6630","ヤーマン","815.0","+24.0","+3.03%","2.45%"
"東証プライム","28","NEW","","6305","日立建機","5,420.0","-70.0","-1.28%","2.40%"
"東証プライム","29","NEW","","4911","資生堂","3,503.0","+67.0","+1.95%","2.37%"
"東証プライム","30","NEW","","6857","アドバンテス","35,020.0","-840.0","-2.34%","2.34%"
"東証プライム","31","NEW","","9887","松屋フーズＨＤ","4,925.0","+105.0","+2.18%","2.34%"
"東証プライム","32","NEW","","6820","アイコム","3,505.0","+105.0","+3.09%","2.28%"
"東証プライム","33","NEW","","3673","ブロドリーフ","444.0","+9.0","+2.07%","2.25%"
"東証プライム","34","NEW","","8609","岡三","1,102.0","+10.0","+0.92%","2.18%"
"東証プライム","35","NEW","","8014","蝶理","4,185.0","+40.0","+0.97%","2.15%"
"東証プライム","36","NEW","","7513","コジマ","1,410.0","+41.0","+2.99%","2.13%"
"東証プライム","37","NEW","","3371","ソフトクリエＨＤ","2,118.0","+23.0","+1.10%","2.12%"
"東証プライム","38","NEW","","3498","霞ヶ関キャピタル","7,700.0","+170.0","+2.26%","2.08%"
"東証プライム","39","NEW","","3397","トリドールＨＤ","4,289.0","+137.0","+3.30%","2.08%"
"東証プライム","40","↑39","79","8084","ＲＹＯＤＥＮ","4,670.0","-145.0","-3.01%","2.03%"
"東証プライム","41","NEW","","3694","オプティム","446.0","+1.0","+0.22%","2.02%"
"東証プライム","42","NEW","","7952","河合楽器","3,470.0","0.0","0.00%","2.02%"
"東証プライム","43","NEW","","5889","ＪＥＨ","2,531.0","+29.0","+1.16%","2.02%"
"東証プライム","44","NEW","","8035","東エレク","54,660.0","-1,720.0","-3.05%","1.99%"
"東証プライム","45","NEW","","3657","ポールＨＤ","358.0","+5.0","+1.42%","1.96%"
"東証プライム","46","NEW","","9279","ギフトＨＤ","5,070.0","+20.0","+0.40%","1.87%"
"東証プライム","47","NEW","","2809","キユーピー","4,736.0","+104.0","+2.25%","1.82%"
"東証プライム","48","NEW","","3221","ヨシックスＨＤ","3,350.0","+20.0","+0.60%","1.79%"
"東証プライム","49","NEW","","4543","テルモ","2,472.0","-106.0","-4.11%","1.78%"
"東証プライム","50","NEW","","8697","ＪＰＸ","2,193.0","+1.5","+0.07%","1.76%"
"東証プライム","51","NEW","","9278","ブックオフＧＨＤ","2,867.0","+100.0","+3.61%","1.74%"
"東証プライム","52","NEW","","6754","アンリツ","3,335.0","-177.0","-5.04%","1.74%"
"東証プライム","53","NEW","","6379","レイズネクスト","3,025.0","+20.0","+0.67%","1.72%"
"東証プライム","54","↑7","61","5122","オカモト","6,450.0","+50.0","+0.78%","1.71%"
"東証プライム","55","NEW","","4323","日本システム技術","1,880.0","+25.0","+1.35%","1.70%"
"東証プライム","56","NEW","","7606","Ｕアローズ","2,594.0","+67.0","+2.65%","1.70%"
"東証プライム","57","NEW","","8255","アクシアル","1,259.0","+35.0","+2.86%","1.67%"
"東証プライム","58","NEW","","8022","ミズノ","3,980.0","+25.0","+0.63%","1.63%"
"東証プライム","59","NEW","","3475","グッドコムアセット","1,554.0","+21.0","+1.37%","1.61%"
"東証プライム","60","NEW","","3288","オープンハウスＧ","7,950.0","-24.0","-0.30%","1.58%"
"東証プライム","61","NEW","","7762","シチズン時計","2,545.0","-55.0","-2.12%","1.57%"
"東証プライム","62","NEW","","4975","ＪＣＵ","5,280.0","-180.0","-3.30%","1.52%"
"東証プライム","63","NEW","","6976","太陽誘電","9,686.0","-305.0","-3.05%","1.50%"
"東証プライム","64","NEW","","2108","甜菜糖","5,490.0","+60.0","+1.10%","1.46%"
"東証プライム","65","NEW","","6516","山洋電気","5,510.0","-320.0","-5.49%","1.45%"
"東証プライム","66","NEW","","9037","ハマキョウ","1,873.0","+16.0","+0.86%","1.44%"
"東証プライム","67","NEW","","3086","Ｊフロント","2,885.0","+36.5","+1.28%","1.44%"
"東証プライム","68","NEW","","2678","アスクル","1,255.0","+17.0","+1.37%","1.43%"
"東証プライム","69","NEW","","7199","プレミアグループ","2,089.0","+25.0","+1.21%","1.39%"
"東証プライム","70","NEW","","9267","ゲンキードラッグ","3,630.0","+35.0","+0.97%","1.38%"
"東証プライム","71","NEW","","2301","学情","1,675.0","-4.0","-0.24%","1.37%"
"東証プライム","72","NEW","","2884","ヨシムラ・Ｆ・ＨＤ","659.0","+8.0","+1.23%","1.37%"
"東証プライム","73","↑24","97","3865","北越コーポレーション","903.0","+10.0","+1.12%","1.33%"
"東証プライム","74","NEW","","9409","テレビ朝日ＨＤ","3,075.0","+25.0","+0.82%","1.30%"
"東証プライム","75","NEW","","1375","ユキグニファクトリー","1,159.0","+15.0","+1.31%","1.29%"
"東証プライム","76","NEW","","2212","山崎パン","3,566.0","+99.0","+2.86%","1.29%"
"東証プライム","77","NEW","","8167","リテールパートナーズ","1,486.0","+19.0","+1.30%","1.28%"
"東証プライム","78","NEW","","9010","富士急","2,740.0","+40.0","+1.48%","1.28%"
"東証プライム","79","NEW","","545A","トランヴィア","960.0","+13.0","+1.37%","1.25%"
"東証プライム","80","NEW","","8919","カチタス","3,600.0","+45.0","+1.27%","1.25%"
"東証プライム","81","NEW","","3232","三重交通ＧＨＤ","562.0","+5.0","+0.90%","1.25%"
"東証プライム","82","NEW","","6981","村田製","7,331.0","-165.0","-2.20%","1.24%"
"東証プライム","83","NEW","","2429","ワールドＨＤ","2,777.0","+14.0","+0.51%","1.22%"
"東証プライム","84","↓45","39","3769","ＧＭＯＰＧ","9,403.0","+228.0","+2.49%","1.22%"
"東証プライム","85","NEW","","4062","イビデン","19,715.0","-1,160.0","-5.56%","1.22%"
"東証プライム","86","NEW","","5757","ＣＫサンエツ","5,150.0","-30.0","-0.58%","1.17%"
"東証プライム","87","NEW","","2531","宝ＨＬＤ","2,112.0","+5.5","+0.26%","1.16%"
"東証プライム","88","NEW","","2198","アイ・ケイ・ケイＨＤ","781.0","+9.0","+1.17%","1.15%"
"東証プライム","89","NEW","","6849","日本光電","1,483.5","+11.0","+0.75%","1.15%"
"東証プライム","90","NEW","","8802","三菱地所","3,614.0","+13.0","+0.36%","1.13%"
"東証プライム","91","NEW","","2353","日駐","265.0","0.0","0.00%","1.13%"
"東証プライム","92","NEW","","8511","日証金","2,483.0","+28.0","+1.14%","1.13%"
